,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,task_type,run
0,0,0.027733615994541883,-0.0665341286179559,0.1,-0.027733615994541883,0.09702998399734497,TD3,sq_error,square_q,flashing-springroll-137
1,1,0.0029142180203484786,0.04601650233313445,0.1,-0.0029142180203484786,-0.14900922775268555,TD3,sq_error,square_q,flashing-springroll-137
2,2,0.0007520269212345356,0.07257689074458304,0.1,-0.0007520269212345356,-0.047800689935684204,TD3,sq_error,square_q,flashing-springroll-137
3,3,0.0006786966499887508,0.0739481929611639,0.1,-0.0006786966499887508,-0.018173515796661377,TD3,sq_error,square_q,flashing-springroll-137
4,4,0.0008825918158891878,0.07029155312223159,0.1,-0.0008825918158891878,-0.012700766324996948,TD3,sq_error,square_q,flashing-springroll-137
5,5,0.0011796471043222369,0.06565400890464454,0.1,-0.0011796471043222369,-0.011902958154678345,TD3,sq_error,square_q,flashing-springroll-137
6,6,0.0015552262795226071,0.06056364266919919,0.1,-0.0015552262795226071,-0.011468976736068726,TD3,sq_error,square_q,flashing-springroll-137
7,7,0.0019646885170728316,0.05567519298324209,0.1,-0.0019646885170728316,-0.011696338653564453,TD3,sq_error,square_q,flashing-springroll-137
8,8,0.0023702600721475574,0.051314683197625624,0.1,-0.0023702600721475574,-0.01225888729095459,TD3,sq_error,square_q,flashing-springroll-137
9,9,0.0027507074963801863,0.04755281231200108,0.1,-0.0027507074963801863,-0.012876182794570923,TD3,sq_error,square_q,flashing-springroll-137
10,10,0.00309157271819122,0.044398087099532094,0.1,-0.00309157271819122,-0.013496935367584229,TD3,sq_error,square_q,flashing-springroll-137
11,11,0.003385296572632273,0.04181669850694039,0.1,-0.003385296572632273,-0.014084488153457642,TD3,sq_error,square_q,flashing-springroll-137
12,12,0.003632786542399302,0.039727398078402976,0.1,-0.003632786542399302,-0.014583587646484375,TD3,sq_error,square_q,flashing-springroll-137
13,13,0.003837394558518932,0.03805329259339984,0.1,-0.003837394558518932,-0.015001446008682251,TD3,sq_error,square_q,flashing-springroll-137
14,14,0.004003798644912053,0.03672442299818949,0.1,-0.004003798644912053,-0.015346914529800415,TD3,sq_error,square_q,flashing-springroll-137
15,15,0.0041372110321595875,0.0356788445986891,0.1,-0.0041372110321595875,-0.015629202127456665,TD3,sq_error,square_q,flashing-springroll-137
16,16,0.004242827004522829,0.034863013544355385,0.1,-0.004242827004522829,-0.015857458114624023,TD3,sq_error,square_q,flashing-springroll-137
17,17,0.004325505310043188,0.03423142612126072,0.1,-0.004325505310043188,-0.016040116548538208,TD3,sq_error,square_q,flashing-springroll-137
18,18,0.004389575355290241,0.03374612950709792,0.1,-0.004389575355290241,-0.016184955835342407,TD3,sq_error,square_q,flashing-springroll-137
19,19,0.0044387815388946695,0.0333758186624806,0.1,-0.0044387815388946695,-0.016298681497573853,TD3,sq_error,square_q,flashing-springroll-137
20,20,0.004476386467327072,0.03309419705790035,0.1,-0.004476386467327072,-0.016385912895202637,TD3,sq_error,square_q,flashing-springroll-137
21,21,0.004505180758812468,0.03287935668654191,0.1,-0.004505180758812468,-0.01645052433013916,TD3,sq_error,square_q,flashing-springroll-137
22,22,0.004526977862647245,0.032717180033479246,0.1,-0.004526977862647245,-0.016501545906066895,TD3,sq_error,square_q,flashing-springroll-137
23,23,0.004543302590048461,0.03259597497145693,0.1,-0.004543302590048461,-0.01654130220413208,TD3,sq_error,square_q,flashing-springroll-137
24,24,0.01755789174646929,0.03250619512486686,-0.1,-0.01755789174646929,-0.01657181978225708,TD3,sq_error,square_q,flashing-springroll-137
25,25,0.0012580924563489414,-0.13546959904409608,-0.1,-0.0012580924563489414,0.22827619314193726,TD3,sq_error,square_q,flashing-springroll-137
26,26,0.011848300886138084,-0.20884990071717147,-0.1,-0.011848300886138084,0.12851187586784363,TD3,sq_error,square_q,flashing-springroll-137
27,27,0.00899780173913406,-0.1948567432454544,-0.1,-0.00899780173913406,0.021297842264175415,TD3,sq_error,square_q,flashing-springroll-137
28,28,0.006919927205943214,-0.18318609983610973,-0.1,-0.006919927205943214,0.026309192180633545,TD3,sq_error,square_q,flashing-springroll-137
29,29,0.00519990310204521,-0.17211035363971813,-0.1,-0.00519990310204521,0.028685837984085083,TD3,sq_error,square_q,flashing-springroll-137
30,30,0.003744194908349831,-0.16118982683706362,-0.1,-0.003744194908349831,0.030008763074874878,TD3,sq_error,square_q,flashing-springroll-137
31,31,0.002813732578018175,-0.15304462817305986,-0.1,-0.002813732578018175,0.03469255566596985,TD3,sq_error,square_q,flashing-springroll-137
32,32,0.0019987448331063346,-0.1447073241550681,-0.1,-0.0019987448331063346,0.035223692655563354,TD3,sq_error,square_q,flashing-springroll-137
33,33,0.0014261198279376928,-0.13776400174687123,-0.1,-0.0014261198279376928,0.03765949606895447,TD3,sq_error,square_q,flashing-springroll-137
34,34,0.0010010004953400567,-0.1316385918672127,-0.1,-0.0010010004953400567,0.03922992944717407,TD3,sq_error,square_q,flashing-springroll-137
35,35,0.0006872343568033615,-0.12621515509783152,-0.1,-0.0006872343568033615,0.04052919149398804,TD3,sq_error,square_q,flashing-springroll-137
36,36,0.0004833719041637072,-0.12198572046041947,-0.1,-0.0004833719041637072,0.04245567321777344,TD3,sq_error,square_q,flashing-springroll-137
37,37,0.00032481407942436545,-0.1180225991306572,-0.1,-0.00032481407942436545,0.04308372735977173,TD3,sq_error,square_q,flashing-springroll-137
38,38,0.00021847819360243227,-0.11478100786828938,-0.1,-0.00021847819360243227,0.04426002502441406,TD3,sq_error,square_q,flashing-springroll-137
39,39,0.00015014589261320245,-0.11225340330737557,-0.1,-0.00015014589261320245,0.04543161392211914,TD3,sq_error,square_q,flashing-springroll-137
40,40,0.00010079962745743934,-0.11003990176532816,-0.1,-0.00010079962745743934,0.046051234006881714,TD3,sq_error,square_q,flashing-springroll-137
41,41,6.718792388735156e-05,-0.10819682401222276,-0.1,-6.718792388735156e-05,0.04671779274940491,TD3,sq_error,square_q,flashing-springroll-137
42,42,4.3556752383770515e-05,-0.10659975396388158,-0.1,-4.3556752383770515e-05,0.047194868326187134,TD3,sq_error,square_q,flashing-springroll-137
43,43,2.7620446783568448e-05,-0.10525551584371777,-0.1,-2.7620446783568448e-05,0.04766005277633667,TD3,sq_error,square_q,flashing-springroll-137
44,44,1.6787701198255513e-05,-0.10409727973151157,-0.1,-1.6787701198255513e-05,0.048018306493759155,TD3,sq_error,square_q,flashing-springroll-137
45,45,9.710315141670645e-06,-0.10311613785665376,-0.1,-9.710315141670645e-06,0.048349082469940186,TD3,sq_error,square_q,flashing-springroll-137
46,46,5.168044080027055e-06,-0.10227333325318289,-0.1,-5.168044080027055e-06,0.04861485958099365,TD3,sq_error,square_q,flashing-springroll-137
47,47,2.423364160709459e-06,-0.10155671582529037,-0.1,-2.423364160709459e-06,0.048852890729904175,TD3,sq_error,square_q,flashing-springroll-137
48,48,8.874736454863986e-07,-0.10094205819644352,-0.1,-8.874736454863986e-07,0.04904872179031372,TD3,sq_error,square_q,flashing-springroll-137
49,49,1.7405035786896856e-07,-0.10041719342980082,-0.1,-1.7405035786896856e-07,0.04921966791152954,TD3,sq_error,square_q,flashing-springroll-137
50,50,0.03998660963140836,-0.09996652127645857,0.1,-0.03998660963140836,0.04936230182647705,TD3,sq_error,square_q,flashing-springroll-137
51,51,0.00022961776579839328,0.11515314375957654,0.1,-0.00022961776579839328,-0.2636709213256836,TD3,sq_error,square_q,flashing-springroll-137
52,52,0.0036846575239924046,0.16070137991835445,0.1,-0.0036846575239924046,-0.06517907977104187,TD3,sq_error,square_q,flashing-springroll-137
53,53,0.002176687012472241,0.14665497843180555,0.1,-0.002176687012472241,0.006960928440093994,TD3,sq_error,square_q,flashing-springroll-137
54,54,0.001096173505525959,0.13310851107383054,0.1,-0.001096173505525959,0.004377484321594238,TD3,sq_error,square_q,flashing-springroll-137
55,55,0.00046491523764453794,0.12156189318321882,0.1,-0.00046491523764453794,0.00015503168106079102,TD3,sq_error,square_q,flashing-springroll-137
56,56,0.0001241317408528495,0.11114144249425763,0.1,-0.0001241317408528495,-0.0026445984840393066,TD3,sq_error,square_q,flashing-springroll-137
57,57,1.199691274528293e-06,0.10109530419269183,0.1,-1.199691274528293e-06,-0.004086285829544067,TD3,sq_error,square_q,flashing-springroll-137
58,58,8.29064576957467e-05,0.090894701669042,0.1,-8.29064576957467e-05,-0.0043856799602508545,TD3,sq_error,square_q,flashing-springroll-137
59,59,0.00032642228586954476,0.08193283957370322,0.1,-0.00032642228586954476,-0.006266504526138306,TD3,sq_error,square_q,flashing-springroll-137
60,60,0.000657186355227191,0.07436435381685902,0.1,-0.000657186355227191,-0.008266240358352661,TD3,sq_error,square_q,flashing-springroll-137
61,61,0.0010129907084334116,0.06817248504150204,0.1,-0.0010129907084334116,-0.010224342346191406,TD3,sq_error,square_q,flashing-springroll-137
62,62,0.0014225280610685566,0.0622835836661467,0.1,-0.0014225280610685566,-0.010649234056472778,TD3,sq_error,square_q,flashing-springroll-137
63,63,0.0018627140812123837,0.056840828538856504,0.1,-0.0018627140812123837,-0.011120647192001343,TD3,sq_error,square_q,flashing-springroll-137
64,64,0.002292319674244192,0.05212182465627798,0.1,-0.002292319674244192,-0.01189035177230835,TD3,sq_error,square_q,flashing-springroll-137
65,65,0.002691439026571067,0.04812091918151338,0.1,-0.002691439026571067,-0.012632876634597778,TD3,sq_error,square_q,flashing-springroll-137
66,66,0.0030475819985300223,0.044795090811323476,0.1,-0.0030475819985300223,-0.013320982456207275,TD3,sq_error,square_q,flashing-springroll-137
67,67,0.00335264509076194,0.042097969890841136,0.1,-0.00335264509076194,-0.013966351747512817,TD3,sq_error,square_q,flashing-springroll-137
68,68,0.0036085695234205728,0.03992862975243055,0.1,-0.0036085695234205728,-0.014502406120300293,TD3,sq_error,square_q,flashing-springroll-137
69,69,0.0038194607591215666,0.03819821394877357,0.1,-0.0038194607591215666,-0.014944642782211304,TD3,sq_error,square_q,flashing-springroll-137
70,70,0.00399055021131066,0.036829198110909976,0.1,-0.00399055021131066,-0.015306591987609863,TD3,sq_error,square_q,flashing-springroll-137
71,71,0.004127450959824577,0.035754759243780736,0.1,-0.004127450959824577,-0.015600323677062988,TD3,sq_error,square_q,flashing-springroll-137
72,72,0.004235663218896336,0.03491802692837029,0.1,-0.004235663218896336,-0.015836596488952637,TD3,sq_error,square_q,flashing-springroll-137
73,73,0.004320266329350593,0.03427126709459103,0.1,-0.004320266329350593,-0.016025006771087646,TD3,sq_error,square_q,flashing-springroll-137
74,74,0.0043857615030429165,0.0337749178706216,0.1,-0.0043857615030429165,-0.016173958778381348,TD3,sq_error,square_q,flashing-springroll-137
75,75,0.017794650799481625,0.033396592158426705,-0.1,-0.017794650799481625,-0.016290724277496338,TD3,sq_error,square_q,flashing-springroll-137
76,76,0.0012172343441283543,-0.13488888568195256,-0.1,-0.0012172343441283543,0.22861963510513306,TD3,sq_error,square_q,flashing-springroll-137
77,77,0.011801931627280628,-0.20863669558340142,-0.1,-0.011801931627280628,0.1289845108985901,TD3,sq_error,square_q,flashing-springroll-137
78,78,0.008980590758316134,-0.19476597890760236,-0.1,-0.008980590758316134,0.02147945761680603,TD3,sq_error,square_q,flashing-springroll-137
79,79,0.006899494584845416,-0.1830631963317414,-0.1,-0.006899494584845416,0.026284992694854736,TD3,sq_error,square_q,flashing-springroll-137
80,80,0.005186030771222066,-0.17201410119707158,-0.1,-0.005186030771222066,0.02873501181602478,TD3,sq_error,square_q,flashing-springroll-137
81,81,0.003731707592772061,-0.16108770410460735,-0.1,-0.003731707592772061,0.03001120686531067,TD3,sq_error,square_q,flashing-springroll-137
82,82,0.0028059793492189174,-0.15297149562943185,-0.1,-0.0028059793492189174,0.03474009037017822,TD3,sq_error,square_q,flashing-springroll-137
83,83,0.0019917967263235067,-0.1446295499229323,-0.1,-0.0019917967263235067,0.0352245569229126,TD3,sq_error,square_q,flashing-springroll-137
84,84,0.0014213579006947495,-0.13770090052896283,-0.1,-0.0014213579006947495,0.03768417239189148,TD3,sq_error,square_q,flashing-springroll-137
85,85,0.0009973781652900346,-0.1315812945474063,-0.1,-0.0009973781652900346,0.03924185037612915,TD3,sq_error,square_q,flashing-springroll-137
86,86,0.0006845667324291568,-0.1261642261958797,-0.1,-0.0006845667324291568,0.04054063558578491,TD3,sq_error,square_q,flashing-springroll-137
87,87,0.00048170674262599866,-0.12194781863024202,-0.1,-0.00048170674262599866,0.04247596859931946,TD3,sq_error,square_q,flashing-springroll-137
88,88,0.00032348343075222106,-0.11798564513027601,-0.1,-0.00032348343075222106,0.04308736324310303,TD3,sq_error,square_q,flashing-springroll-137
89,89,0.00021762484829483417,-0.11475211335012155,-0.1,-0.00021762484829483417,0.044272661209106445,TD3,sq_error,square_q,flashing-springroll-137
90,90,0.00014960233232690434,-0.11223120322482234,-0.1,-0.00014960233232690434,0.04544264078140259,TD3,sq_error,square_q,flashing-springroll-137
91,91,0.00010039037410925649,-0.11001949969356038,-0.1,-0.00010039037410925649,0.04605546593666077,TD3,sq_error,square_q,flashing-springroll-137
92,92,6.691910815568726e-05,-0.10818041002368997,-0.1,-6.691910815568726e-05,0.046724677085876465,TD3,sq_error,square_q,flashing-springroll-137
93,93,4.336405381670196e-05,-0.10658513886085191,-0.1,-4.336405381670196e-05,0.04719862341880798,TD3,sq_error,square_q,flashing-springroll-137
94,94,2.7493980024420824e-05,-0.10524347022728468,-0.1,-2.7493980024420824e-05,0.047664642333984375,TD3,sq_error,square_q,flashing-springroll-137
95,95,1.6701093716477366e-05,-0.10408669716476245,-0.1,-1.6701093716477366e-05,0.04802125692367554,TD3,sq_error,square_q,flashing-springroll-137
96,96,9.655467996438947e-06,-0.1031073248939303,-0.1,-9.655467996438947e-06,0.04835230112075806,TD3,sq_error,square_q,flashing-springroll-137
97,97,5.133326940719497e-06,-0.10226568465164937,-0.1,-5.133326940719497e-06,0.048617154359817505,TD3,sq_error,square_q,flashing-springroll-137
98,98,2.403133800538206e-06,-0.10155020443830426,-0.1,-2.403133800538206e-06,0.04885503649711609,TD3,sq_error,square_q,flashing-springroll-137
99,99,8.770762807398514e-07,-0.10093652350784156,-0.1,-8.770762807398514e-07,0.04905056953430176,TD3,sq_error,square_q,flashing-springroll-137
0,0,0.0005287658302987446,-0.010461585434402917,0.012533323356430426,-0.0005287658302987446,0.015256643295288086,TD3,sq_error,sin_q,scintillating-wish-136
1,1,0.00127687655544537,-0.010864420796816918,0.02486898871648548,-0.00127687655544537,0.00296628475189209,TD3,sq_error,sin_q,scintillating-wish-136
2,2,0.001774230988800911,-0.005309166124836985,0.0368124552684678,-0.001774230988800911,-0.005411416292190552,TD3,sq_error,sin_q,scintillating-wish-136
3,3,0.0021666194995713203,0.0016284072562439689,0.04817536741017153,-0.0021666194995713203,-0.008478343486785889,TD3,sq_error,sin_q,scintillating-wish-136
4,4,0.002546205711798255,0.008318583574522274,0.058778525229247314,-0.002546205711798255,-0.0096149742603302,TD3,sq_error,sin_q,scintillating-wish-136
5,5,0.002753249555588983,0.015983294035003922,0.06845471059286887,-0.002753249555588983,-0.01262885332107544,TD3,sq_error,sin_q,scintillating-wish-136
6,6,0.0027289579372077196,0.024811895325802295,0.07705132427757894,-0.0027289579372077196,-0.016275763511657715,TD3,sq_error,sin_q,scintillating-wish-136
7,7,0.0025974296513326185,0.03346780798891063,0.08443279255020152,-0.0025974296513326185,-0.018384039402008057,TD3,sq_error,sin_q,scintillating-wish-136
8,8,0.002466923179941028,0.04081457482133803,0.09048270524660196,-0.002466923179941028,-0.01895543932914734,TD3,sq_error,sin_q,scintillating-wish-136
9,9,0.0023485360880120647,0.04664395450681788,0.09510565162951536,-0.0023485360880120647,-0.019069969654083252,TD3,sq_error,sin_q,scintillating-wish-136
10,10,0.0022419343970560084,0.05087965541932648,0.09822872507286887,-0.0022419343970560084,-0.018834710121154785,TD3,sq_error,sin_q,scintillating-wish-136
11,11,0.002140151248094144,0.053540904090496215,0.09980267284282716,-0.002140151248094144,-0.01833200454711914,TD3,sq_error,sin_q,scintillating-wish-136
12,12,0.0020393949740279043,0.05464301192705075,0.09980267284282716,-0.0020393949740279043,-0.017522186040878296,TD3,sq_error,sin_q,scintillating-wish-136
13,13,0.0018530995458713917,0.05518108232821454,0.09822872507286888,-0.0018530995458713917,-0.01780247688293457,TD3,sq_error,sin_q,scintillating-wish-136
14,14,0.0016110575516559923,0.05496767021968368,0.09510565162951534,-0.0016110575516559923,-0.017642319202423096,TD3,sq_error,sin_q,scintillating-wish-136
15,15,0.00134512614731335,0.05380674380980592,0.09048270524660196,-0.00134512614731335,-0.016977548599243164,TD3,sq_error,sin_q,scintillating-wish-136
16,16,0.0010770435635147383,0.051614450673824835,0.0844327925502015,-0.0010770435635147383,-0.015914887189865112,TD3,sq_error,sin_q,scintillating-wish-136
17,17,0.0008222752406742188,0.04837598224519472,0.0770513242775789,-0.0008222752406742188,-0.014520436525344849,TD3,sq_error,sin_q,scintillating-wish-136
18,18,0.0005921186170765675,0.04412122302785736,0.06845471059286883,-0.0005921186170765675,-0.012839853763580322,TD3,sq_error,sin_q,scintillating-wish-136
19,19,0.0003947365115057584,0.03891054819317842,0.05877852522924725,-0.0003947365115057584,-0.010909110307693481,TD3,sq_error,sin_q,scintillating-wish-136
20,20,0.00023560134142440987,0.0328260566300612,0.048175367410171484,-0.00023560134142440987,-0.008760064840316772,TD3,sq_error,sin_q,scintillating-wish-136
21,21,0.00010420366456336491,0.026604435648415817,0.036812455268467735,-0.00010420366456336491,-0.007354706525802612,TD3,sq_error,sin_q,scintillating-wish-136
22,22,2.134036724317607e-05,0.02024942518264629,0.024868988716485397,-2.134036724317607e-05,-0.005782902240753174,TD3,sq_error,sin_q,scintillating-wish-136
