,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,run,observation
0,0,8.813705769769143e-06,0.015502111959508985,0.012533323356430426,-8.813705769769143e-06,-0.02260749042034149,DSAC,sq_error,jumping-flower-611,state + error
1,1,2.7861559175340413e-06,0.023199810500256296,0.02486898871648548,-2.7861559175340413e-06,-0.014750882983207703,DSAC,sq_error,jumping-flower-611,state + error
2,2,9.983433382549496e-05,0.02682074201069789,0.0368124552684678,-9.983433382549496e-05,-0.010881394147872925,DSAC,sq_error,jumping-flower-611,state + error
3,3,0.00039457264829093476,0.0283115146043603,0.04817536741017153,-0.00039457264829093476,-0.00906170904636383,DSAC,sq_error,jumping-flower-611,state + error
4,4,0.0009041517756491551,0.028709408586932144,0.058778525229247314,-0.0009041517756491551,-0.008312702178955078,DSAC,sq_error,jumping-flower-611,state + error
5,5,0.0015922621827781135,0.028551550532817067,0.06845471059286887,-0.0015922621827781135,-0.008093029260635376,DSAC,sq_error,jumping-flower-611,state + error
6,6,0.0023936826372343684,0.02812604822077607,0.07705132427757894,-0.0023936826372343684,-0.008139118552207947,DSAC,sq_error,jumping-flower-611,state + error
7,7,0.003231241754236867,0.02758878007538701,0.08443279255020152,-0.003231241754236867,-0.008314013481140137,DSAC,sq_error,jumping-flower-611,state + error
8,8,0.004026687633685629,0.027026518521542368,0.09048270524660196,-0.004026687633685629,-0.008549496531486511,DSAC,sq_error,jumping-flower-611,state + error
9,9,0.004709390325645822,0.026480653810602304,0.09510565162951536,-0.004709390325645822,-0.008799716830253601,DSAC,sq_error,jumping-flower-611,state + error
10,10,0.005221020357046956,0.025972096608436922,0.09822872507286887,-0.005221020357046956,-0.009046599268913269,DSAC,sq_error,jumping-flower-611,state + error
11,11,0.005519287082331155,0.025510768288352626,0.09980267284282716,-0.005519287082331155,-0.009281948208808899,DSAC,sq_error,jumping-flower-611,state + error
12,12,0.0055804271866470665,0.02510041593818562,0.09980267284282716,-0.0055804271866470665,-0.009502306580543518,DSAC,sq_error,jumping-flower-611,state + error
13,13,0.005400411760284718,0.024741231168907796,0.09822872507286888,-0.005400411760284718,-0.00970660150051117,DSAC,sq_error,jumping-flower-611,state + error
14,14,0.004994888548678932,0.024431126171759826,0.09510565162951534,-0.004994888548678932,-0.009894654154777527,DSAC,sq_error,jumping-flower-611,state + error
15,15,0.004397809729929394,0.02416672127645043,0.09048270524660196,-0.004397809729929394,-0.010066986083984375,DSAC,sq_error,jumping-flower-611,state + error
16,16,0.0036589637381054235,0.023943423747862166,0.0844327925502015,-0.0036589637381054235,-0.010223686695098877,DSAC,sq_error,jumping-flower-611,state + error
17,17,0.0028403925787023362,0.02375599072292013,0.0770513242775789,-0.0028403925787023362,-0.010365128517150879,DSAC,sq_error,jumping-flower-611,state + error
18,18,0.0020120642352250795,0.023598671587790818,0.06845471059286883,-0.0020120642352250795,-0.010491475462913513,DSAC,sq_error,jumping-flower-611,state + error
19,19,0.0012470091821202545,0.02346550805257068,0.05877852522924725,-0.0012470091821202545,-0.010602951049804688,DSAC,sq_error,jumping-flower-611,state + error
20,20,0.0006162760754357279,0.023350459043055043,0.048175367410171484,-0.0006162760754357279,-0.010699659585952759,DSAC,sq_error,jumping-flower-611,state + error
