,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,run
0,0,0.0007463462950121121,-0.014786015856151422,0.012533323356430426,-0.0007463462950121121,0.021563172340393066,TD3,sq_error,prime-voice-63
1,1,0.0021724780927107816,-0.021740861022714303,0.02486898871648548,-0.0021724780927107816,0.013504713773727417,TD3,sq_error,prime-voice-63
2,2,0.002482730256158271,-0.013014548014473784,0.0368124552684678,-0.002482730256158271,-0.007471978664398193,TD3,sq_error,prime-voice-63
3,3,0.002283297402418897,0.00039150609257920105,0.04817536741017153,-0.002283297402418897,-0.015846967697143555,TD3,sq_error,prime-voice-63
4,4,0.001994544865714112,0.014118197580268829,0.058778525229247314,-0.001994544865714112,-0.019143760204315186,TD3,sq_error,prime-voice-63
5,5,0.0017405791910035599,0.026734461420511807,0.06845471059286887,-0.0017405791910035599,-0.02072390913963318,TD3,sq_error,prime-voice-63
6,6,0.0015729958851420894,0.037390312122792854,0.07705132427757894,-0.0015729958851420894,-0.021094530820846558,TD3,sq_error,prime-voice-63
7,7,0.0014623667797920197,0.04619188801340977,0.08443279255020152,-0.0014623667797920197,-0.02141284942626953,TD3,sq_error,prime-voice-63
8,8,0.0013977809032035653,0.053095797067353366,0.09048270524660196,-0.0013977809032035653,-0.021426409482955933,TD3,sq_error,prime-voice-63
9,9,0.0013600364768212678,0.05822697924531384,0.09510565162951536,-0.0013600364768212678,-0.021318793296813965,TD3,sq_error,prime-voice-63
10,10,0.001325571442786012,0.061820327102263074,0.09822872507286887,-0.001325571442786012,-0.021229594945907593,TD3,sq_error,prime-voice-63
11,11,0.0012864637781189179,0.0639353649131969,0.09980267284282716,-0.0012864637781189179,-0.020913511514663696,TD3,sq_error,prime-voice-63
12,12,0.0012394492676511054,0.06459685986185618,0.09980267284282716,-0.0012394492676511054,-0.020298480987548828,TD3,sq_error,prime-voice-63
13,13,0.0011761316405060817,0.06393394937005838,0.09822872507286888,-0.0011761316405060817,-0.01951122283935547,TD3,sq_error,prime-voice-63
14,14,0.001098086053642753,0.061968270114936476,0.09510565162951534,-0.001098086053642753,-0.018395990133285522,TD3,sq_error,prime-voice-63
