,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,algorithm,reward_type,run
0,61,61.0,-25.712114334106445,TD3,sq_error,prime-voice-63
1,162,81.0,-13.83566665649414,TD3,sq_error,prime-voice-63
2,263,87.66666412353516,-9.44183349609375,TD3,sq_error,prime-voice-63
3,364,91.0,-7.693827152252197,TD3,sq_error,prime-voice-63
4,465,93.0,-6.27263069152832,TD3,sq_error,prime-voice-63
5,566,94.33333587646484,-5.950850009918213,TD3,sq_error,prime-voice-63
6,667,95.28571319580078,-6.101162433624268,TD3,sq_error,prime-voice-63
7,768,96.0,-5.430182456970215,TD3,sq_error,prime-voice-63
8,869,96.55555725097656,-4.851161003112793,TD3,sq_error,prime-voice-63
9,970,97.0,-4.374477386474609,TD3,sq_error,prime-voice-63
10,1071,97.36363983154297,-3.996807098388672,TD3,sq_error,prime-voice-63
11,1172,97.66666412353516,-3.6873929500579834,TD3,sq_error,prime-voice-63
12,1273,97.92308044433594,-3.436519145965576,TD3,sq_error,prime-voice-63
13,1374,98.14286041259766,-3.224273920059204,TD3,sq_error,prime-voice-63
14,1475,98.33333587646484,-3.0342400074005127,TD3,sq_error,prime-voice-63
15,1576,98.5,-2.878124713897705,TD3,sq_error,prime-voice-63
16,1677,98.64705657958984,-2.740359306335449,TD3,sq_error,prime-voice-63
17,1778,98.77777862548828,-2.621284008026123,TD3,sq_error,prime-voice-63
18,1879,98.89473724365234,-2.5102345943450928,TD3,sq_error,prime-voice-63
19,1980,99.0,-2.405200958251953,TD3,sq_error,prime-voice-63
20,2081,99.0952377319336,-2.311302661895752,TD3,sq_error,prime-voice-63
21,2182,99.18181610107422,-2.2271728515625,TD3,sq_error,prime-voice-63
22,2283,99.26087188720703,-2.1804065704345703,TD3,sq_error,prime-voice-63
23,2384,99.33333587646484,-2.1499083042144775,TD3,sq_error,prime-voice-63
24,2485,99.4000015258789,-2.1378672122955322,TD3,sq_error,prime-voice-63
25,2586,99.46154022216797,-2.132648468017578,TD3,sq_error,prime-voice-63
26,2687,99.51851654052734,-2.1339080333709717,TD3,sq_error,prime-voice-63
27,2788,99.57142639160156,-2.082106351852417,TD3,sq_error,prime-voice-63
28,2889,99.62068939208984,-2.0160741806030273,TD3,sq_error,prime-voice-63
