,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,run
0,0,0.011466642354735143,-0.09454908581863036,0.012533323356430426,-0.011466642354735143,0.13788557052612305,DSAC,sq_error,unique-plant-183
1,1,0.02358295029735552,-0.128698424159279,0.02486898871648548,-0.02358295029735552,0.07130072265863419,DSAC,sq_error,unique-plant-183
2,2,0.027306986849443656,-0.1284358029657528,0.0368124552684678,-0.027306986849443656,0.03086649626493454,DSAC,sq_error,unique-plant-183
3,3,0.02502425460187758,-0.11001519678971233,0.04817536741017153,-0.02502425460187758,0.006884165108203888,DSAC,sq_error,unique-plant-183
4,4,0.020319609630611888,-0.0837683429601727,0.058778525229247314,-0.020319609630611888,-0.006351284682750702,DSAC,sq_error,unique-plant-183
5,5,0.015479187470358797,-0.05596067217935427,0.06845471059286887,-0.015479187470358797,-0.012788020074367523,DSAC,sq_error,unique-plant-183
6,6,0.011336654737115088,-0.02942240364210597,0.07705132427757894,-0.011336654737115088,-0.016134805977344513,DSAC,sq_error,unique-plant-183
7,7,0.008439140252796762,-0.007432000775624684,0.08443279255020152,-0.008439140252796762,-0.015077531337738037,DSAC,sq_error,unique-plant-183
8,8,0.006495879727451924,0.009885684659908283,0.09048270524660196,-0.006495879727451924,-0.01339472085237503,DSAC,sq_error,unique-plant-183
9,9,0.0054443611692320554,0.021319737193004812,0.09510565162951536,-0.0054443611692320554,-0.009335674345493317,DSAC,sq_error,unique-plant-183
10,10,0.004898371565268197,0.028240357716084526,0.09822872507286887,-0.004898371565268197,-0.0062582120299339294,DSAC,sq_error,unique-plant-183
11,11,0.004608871263496627,0.031914004690501284,0.09980267284282716,-0.004608871263496627,-0.00417570024728775,DSAC,sq_error,unique-plant-183
12,12,0.004443651071167275,0.03314195674130846,0.09980267284282716,-0.004443651071167275,-0.002590268850326538,DSAC,sq_error,unique-plant-183
13,13,0.004297641560005268,0.032672325232691056,0.09822872507286888,-0.004297641560005268,-0.0015335381031036377,DSAC,sq_error,unique-plant-183
14,14,0.004117526888674701,0.030937693202628312,0.09510565162951534,-0.004117526888674701,-0.0006645619869232178,DSAC,sq_error,unique-plant-183
15,15,0.0038834263773461835,0.028165561719750667,0.09048270524660196,-0.0038834263773461835,0.00024887174367904663,DSAC,sq_error,unique-plant-183
16,16,0.0036438575426352465,0.02406841942635264,0.0844327925502015,-0.0036438575426352465,0.001926220953464508,DSAC,sq_error,unique-plant-183
17,17,0.0037806699771610296,0.015564171333561154,0.0770513242775789,-0.0037806699771610296,0.008522219955921173,DSAC,sq_error,unique-plant-183
18,18,0.0041874557377098885,0.0037441570663389392,0.06845471059286883,-0.0041874557377098885,0.014670275151729584,DSAC,sq_error,unique-plant-183
