,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,run
0,0,0.004891767006953578,-0.05740784482764825,0.012533323356430426,-0.013263834667046887,0.08372067660093307,DSAC,sq_error_da_a,pretty-grass-222
1,1,0.012014876985279728,-0.08474340558853702,0.02486898871648548,-0.020386944645373037,0.052918486297130585,DSAC,sq_error_da_a,pretty-grass-222
2,2,0.014768605249029693,-0.08471369520553386,0.0368124552684678,-0.020060453878742755,0.020431537181138992,DSAC,sq_error_da_a,pretty-grass-222
3,3,0.013338647302631875,-0.06731769429758594,0.04817536741017153,-0.016023707189057608,-0.0032095303758978844,DSAC,sq_error_da_a,pretty-grass-222
4,4,0.009890277098510127,-0.040671347060817126,0.058778525229247314,-0.013386766027304988,-0.019087210297584534,DSAC,sq_error_da_a,pretty-grass-222
5,5,0.006344032048511272,-0.011194721599151629,0.06845471059286887,-0.01007229214839912,-0.028184905648231506,DSAC,sq_error_da_a,pretty-grass-222
6,6,0.0035461055032660793,0.01750213869737071,0.07705132427757894,-0.007387648700897915,-0.03330016881227493,DSAC,sq_error_da_a,pretty-grass-222
7,7,0.0018830819688847153,0.04103830017058362,0.08443279255020152,-0.005213098850112209,-0.03250088542699814,DSAC,sq_error_da_a,pretty-grass-222
8,8,0.0011996857087592193,0.05584622579560666,0.09048270524660196,-0.004449774251459033,-0.02591334655880928,DSAC,sq_error_da_a,pretty-grass-222
9,9,0.0009727590208147936,0.06391656666674683,0.09510565162951536,-0.0035640936766957215,-0.020681004971265793,DSAC,sq_error_da_a,pretty-grass-222
10,10,0.0009138986260773875,0.06799796877936229,0.09822872507286887,-0.002981999123203967,-0.018146883696317673,DSAC,sq_error_da_a,pretty-grass-222
11,11,0.0009485079240251817,0.0690048170079613,0.09980267284282716,-0.002763196293656949,-0.016103386878967285,DSAC,sq_error_da_a,pretty-grass-222
12,12,0.0009946372660755217,0.06826480249501322,0.09980267284282716,-0.00260497595397225,-0.01527275051921606,DSAC,sq_error_da_a,pretty-grass-222
13,13,0.001007684454943493,0.06648467909659968,0.09822872507286888,-0.002534959506865099,-0.014988533221185207,DSAC,sq_error_da_a,pretty-grass-222
14,14,0.0009917963677364178,0.06361285296479807,0.09510565162951534,-0.0024906496898549385,-0.014275155030190945,DSAC,sq_error_da_a,pretty-grass-222
15,15,0.0009685584165940563,0.0593610340737029,0.09048270524660196,-0.0023960739196131507,-0.012762396596372128,DSAC,sq_error_da_a,pretty-grass-222
16,16,0.0009424745737453495,0.05373304379316198,0.0844327925502015,-0.0022187142333825625,-0.010797287337481976,DSAC,sq_error_da_a,pretty-grass-222
17,17,0.0009091757264612305,0.04689878331564286,0.0770513242775789,-0.001988904460209428,-0.008604402653872967,DSAC,sq_error_da_a,pretty-grass-222
18,18,0.0010309634560150905,0.03634609093996113,0.06845471059286883,-0.0018914037214023873,-0.002293921075761318,DSAC,sq_error_da_a,pretty-grass-222
19,19,0.0014024523091786428,0.021329195339666544,0.05877852522924725,-0.002860171162086062,0.006141633726656437,DSAC,sq_error_da_a,pretty-grass-222
20,20,0.0020519524203098387,0.0028768859752509694,0.048175367410171484,-0.0043073952519751164,0.014348031021654606,DSAC,sq_error_da_a,pretty-grass-222
21,21,0.0030782292844405506,-0.01866933710020534,0.036812455268467735,-0.006277179183965001,0.023168765008449554,DSAC,sq_error_da_a,pretty-grass-222
22,22,0.004528701113444814,-0.04242663605544769,0.024868988716485397,-0.008568779932242879,0.0317847765982151,DSAC,sq_error_da_a,pretty-grass-222
23,23,0.006581502511207522,-0.06859313663787438,0.012533323356430322,-0.011724851011340083,0.041609130799770355,DSAC,sq_error_da_a,pretty-grass-222
24,24,0.009135290049908915,-0.09557871127980817,-7.6571373978539e-17,-0.014993399196265498,0.05009511113166809,DSAC,sq_error_da_a,pretty-grass-222
25,25,0.011415604310811145,-0.11937715476850201,-0.012533323356430563,-0.01708144898968993,0.053376778960227966,DSAC,sq_error_da_a,pretty-grass-222
26,26,0.01331971186387158,-0.1402800447894268,-0.024868988716485588,-0.01934107142674542,0.056795187294483185,DSAC,sq_error_da_a,pretty-grass-222
27,27,0.01526717860310575,-0.16037288017509305,-0.036812455268467915,-0.0221744904300501,0.06293415278196335,DSAC,sq_error_da_a,pretty-grass-222
28,28,0.017393337937856437,-0.18005917209390238,-0.04817536741017166,-0.025045844915176155,0.06972961127758026,DSAC,sq_error_da_a,pretty-grass-222
29,29,0.019158817697507595,-0.19719390622972582,-0.05877852522924742,-0.02689012127016232,0.07352132350206375,DSAC,sq_error_da_a,pretty-grass-222
30,30,0.02041290990411504,-0.21132846571995678,-0.06845471059286899,-0.028315012821547823,0.0762711763381958,DSAC,sq_error_da_a,pretty-grass-222
31,31,0.02109229569668253,-0.2222831930140328,-0.07705132427757905,-0.02910554116005381,0.07820181548595428,DSAC,sq_error_da_a,pretty-grass-222
32,32,0.021419967374307236,-0.23078841210171472,-0.08443279255020164,-0.029705260357362352,0.08052737265825272,DSAC,sq_error_da_a,pretty-grass-222
33,33,0.021589561441860285,-0.23741657282606884,-0.09048270524660205,-0.030159436056337443,0.08311305940151215,DSAC,sq_error_da_a,pretty-grass-222
34,34,0.021716319216088152,-0.2424702308746249,-0.09510565162951541,-0.030534072411850785,0.08564529567956924,DSAC,sq_error_da_a,pretty-grass-222
35,35,0.021883058113599016,-0.24615795853806002,-0.09822872507286891,-0.030922796142840582,0.08802133798599243,DSAC,sq_error_da_a,pretty-grass-222
36,36,0.02216111232582182,-0.24866876141178845,-0.09980267284282718,-0.031405870216523114,0.09023445844650269,DSAC,sq_error_da_a,pretty-grass-222
37,37,0.02237762853417844,-0.24939421182207033,-0.09980267284282714,-0.031583247034887976,0.09114532172679901,DSAC,sq_error_da_a,pretty-grass-222
38,38,0.022459820362560202,-0.24809473310190858,-0.09822872507286884,-0.0315743525352401,0.09113949537277222,DSAC,sq_error_da_a,pretty-grass-222
39,39,0.02253148638861641,-0.24521056956565893,-0.09510565162951531,-0.03164543592589363,0.0911281630396843,DSAC,sq_error_da_a,pretty-grass-222
40,40,0.02270752303502539,-0.241172860980231,-0.09048270524660189,-0.03182855434915999,0.09116923809051514,DSAC,sq_error_da_a,pretty-grass-222
41,41,0.023066239425822827,-0.23630852934124663,-0.08443279255020146,-0.032187556097194286,0.09119120240211487,DSAC,sq_error_da_a,pretty-grass-222
42,42,0.02365682888211655,-0.2308590902782479,-0.07705132427757891,-0.032775949122328035,0.09113660454750061,DSAC,sq_error_da_a,pretty-grass-222
43,43,0.024470418333826818,-0.22488494531054357,-0.06845471059286883,-0.033584078788576874,0.09079638868570328,DSAC,sq_error_da_a,pretty-grass-222
44,44,0.02541347489155268,-0.21819456862373346,-0.05877852522924734,-0.03449311376012301,0.08982210606336594,DSAC,sq_error_da_a,pretty-grass-222
45,45,0.026204791012764524,-0.210054306783904,-0.048175367410171616,-0.03518700161910111,0.08738569915294647,DSAC,sq_error_da_a,pretty-grass-222
46,46,0.026184464106198523,-0.19862859817824843,-0.036812455268467874,-0.034923034021493174,0.08171501755714417,DSAC,sq_error_da_a,pretty-grass-222
47,47,0.024868751658764825,-0.1825672818548859,-0.024868988716485622,-0.03304025341447924,0.073086678981781,DSAC,sq_error_da_a,pretty-grass-222
48,48,0.02207797007404934,-0.16111989769627247,-0.012533323356430643,-0.029386637972227438,0.06201682984828949,DSAC,sq_error_da_a,pretty-grass-222
49,49,0.018070438171139642,-0.13442632990281217,-2.0212861992297212e-16,-0.024272121155968593,0.04955722764134407,DSAC,sq_error_da_a,pretty-grass-222
50,50,0.013671036477567221,-0.10438988425252668,0.012533323356430155,-0.018626759241701627,0.03822510316967964,DSAC,sq_error_da_a,pretty-grass-222
51,51,0.00935323719704325,-0.0718431470113709,0.024868988716485144,-0.013175747514011214,0.02681470662355423,DSAC,sq_error_da_a,pretty-grass-222
52,52,0.005504075653210705,-0.03737700256221568,0.03681245526846741,-0.008185546315566127,0.015131388790905476,DSAC,sq_error_da_a,pretty-grass-222
53,53,0.002649256252335817,-0.003295558871913788,0.0481753674101711,-0.004162395131426365,0.005796276964247227,DSAC,sq_error_da_a,pretty-grass-222
54,54,0.0010243451326391517,0.026773132986077093,0.05877852522924686,-0.0016039728290638744,0.001265612430870533,DSAC,sq_error_da_a,pretty-grass-222
55,55,0.0003339191912099385,0.05018125467424334,0.06845471059286855,-0.00046048043429699185,0.0009846584871411324,DSAC,sq_error_da_a,pretty-grass-222
56,56,6.752086228537882e-05,0.06883421637483211,0.0770513242775786,-0.0003584521578888925,-0.0009623272344470024,DSAC,sq_error_da_a,pretty-grass-222
57,57,8.848326805293672e-06,0.08145817882648955,0.0844327925502012,-0.00010508105024999392,-0.00020307209342718124,DSAC,sq_error_da_a,pretty-grass-222
58,58,4.8406187996670946e-08,0.090702719309781,0.09048270524660168,-0.0003903134500129078,-0.002052861265838146,DSAC,sq_error_da_a,pretty-grass-222
59,59,9.739101576894084e-08,0.09541772696620315,0.09510565162951513,-0.00020538351759958356,-0.0014378679916262627,DSAC,sq_error_da_a,pretty-grass-222
60,60,8.902358457166421e-07,0.09728520196996311,0.09822872507286873,-0.00028854476610270326,-0.0021572066470980644,DSAC,sq_error_da_a,pretty-grass-222
61,61,1.1531606443043832e-05,0.09640685093303211,0.09980267284282712,-0.00023582192895543207,-0.0022000549361109734,DSAC,sq_error_da_a,pretty-grass-222
62,62,2.581398020921408e-05,0.09472192681402257,0.0998026728428272,-0.0006502936130338735,-0.004222425632178783,DSAC,sq_error_da_a,pretty-grass-222
63,63,3.7732247588632936e-05,0.09208606704977895,0.09822872507286903,-0.0007325468513643726,-0.00558528583496809,DSAC,sq_error_da_a,pretty-grass-222
64,64,4.7074670733126236e-05,0.0882445532675093,0.09510565162951565,-0.0007079958383153998,-0.0060972487553954124,DSAC,sq_error_da_a,pretty-grass-222
65,65,5.409766327705701e-05,0.08312759387578977,0.09048270524660239,-0.0006638225388165982,-0.005969255231320858,DSAC,sq_error_da_a,pretty-grass-222
66,66,6.559107303352187e-05,0.07633396096573736,0.08443279255020199,-0.0006625165961656077,-0.004695969633758068,DSAC,sq_error_da_a,pretty-grass-222
67,67,7.738025051068706e-05,0.06825471979001237,0.07705132427757955,-0.0005469772138864939,-0.003334461711347103,DSAC,sq_error_da_a,pretty-grass-222
68,68,0.00010641079519207826,0.05813914976506785,0.06845471059286962,-0.0004398569663267885,-0.00029348861426115036,DSAC,sq_error_da_a,pretty-grass-222
69,69,0.0002890807760367441,0.04177614962944615,0.0587785252292482,-0.0022483961840579557,0.009649832732975483,DSAC,sq_error_da_a,pretty-grass-222
70,70,0.0007597420006857259,0.020611949612560344,0.04817536741017256,-0.0036395116351411686,0.019223764538764954,DSAC,sq_error_da_a,pretty-grass-222
71,71,0.0016318040359492203,-0.003583138995624003,0.036812455268468956,-0.005256389306830873,0.02773480862379074,DSAC,sq_error_da_a,pretty-grass-222
72,72,0.0029373887688538274,-0.02932869360345962,0.024868988716486753,-0.007218495360078498,0.03527293726801872,DSAC,sq_error_da_a,pretty-grass-222
