,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,run
0,0,0.0008397145850807934,0.028977829198902967,0.0,-0.005065693585410765,-0.04225979000329971,DSAC,sq_error_da_a,dashing-night-275
1,1,0.0018779419842590056,0.0433352279820818,0.0,-0.006103920984588977,-0.027527229860424995,DSAC,sq_error_da_a,dashing-night-275
2,2,0.0024908547811579346,0.04990846402322891,0.0,-0.005243577767200434,-0.020048348233103752,DSAC,sq_error_da_a,dashing-night-275
3,3,0.0027363004944310322,0.052309659666557116,0.0,-0.0047411353177414075,-0.016324428841471672,DSAC,sq_error_da_a,dashing-night-275
4,4,0.0027603821681910423,0.05253933924395169,0.0,-0.00439282505233821,-0.014644382521510124,DSAC,sq_error_da_a,dashing-night-275
5,5,0.002672520327140676,0.05169642470365505,0.0,-0.004136958579291688,-0.014055183157324791,DSAC,sq_error_da_a,dashing-night-275
6,6,0.002538109773070612,0.05037965634133099,0.0,-0.003943628088803091,-0.014032980427145958,DSAC,sq_error_da_a,dashing-night-275
7,7,0.0023920634258875703,0.04890872545760695,0.0,-0.0038465603683481074,-0.014288974925875664,DSAC,sq_error_da_a,dashing-night-275
8,8,0.0022513539898717148,0.04744843506240975,0.0,-0.0037556297514164194,-0.014665866270661354,DSAC,sq_error_da_a,dashing-night-275
9,9,0.0021232232193971017,0.046078446364836365,0.0,-0.0036726088936949114,-0.015079861506819725,DSAC,sq_error_da_a,dashing-night-275
10,10,0.002010003569346125,0.04483306335001128,0.0,-0.0035998328577691867,-0.01548907719552517,DSAC,sq_error_da_a,dashing-night-275
11,11,0.001911584189146094,0.04372166727317354,0.0,-0.003537144971995883,-0.015872342512011528,DSAC,sq_error_da_a,dashing-night-275
12,12,0.001826712344410992,0.0427400555031342,0.0,-0.003483386006775475,-0.01621953956782818,DSAC,sq_error_da_a,dashing-night-275
13,13,0.001753816923175229,0.0418785974356261,0.0,-0.003437663598034753,-0.016529003158211708,DSAC,sq_error_da_a,dashing-night-275
14,14,0.0016913164824439377,0.04112561832293756,0.0,-0.0033988474354339927,-0.01680215634405613,DSAC,sq_error_da_a,dashing-night-275
15,15,0.0016377480525219318,0.040469099971730677,0.0,-0.00336588358615278,-0.017041755840182304,DSAC,sq_error_da_a,dashing-night-275
16,16,0.0015918193660826145,0.03989761103227378,0.0,-0.003337876153752273,-0.017251161858439445,DSAC,sq_error_da_a,dashing-night-275
17,17,0.0015524103913286905,0.03940063947867713,0.0,-0.0033140381473878606,-0.01743371970951557,DSAC,sq_error_da_a,dashing-night-275
18,18,0.001518562198380374,0.03896873359990512,0.0,-0.00329371313075199,-0.017592614516615868,DSAC,sq_error_da_a,dashing-night-275
19,19,0.0014894602075965554,0.0385935254621362,0.0,-0.003276357352808252,-0.017730792984366417,DSAC,sq_error_da_a,dashing-night-275
20,20,0.0014644150739096932,0.03826767662021949,0.0,-0.0032615187694811157,-0.01785091497004032,DSAC,sq_error_da_a,dashing-night-275
21,21,0.0014428397270747624,0.037984730182992775,0.0,-0.003248800300330778,-0.01795526035130024,DSAC,sq_error_da_a,dashing-night-275
