,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,observation,run
0,0,0.0008450249909488223,-0.016535990205276227,0.012533323356430426,-0.0008450249909488223,0.024115245789289474,DSAC,sq_error,state + error,feasible-yogurt-566
1,1,0.002589551112246113,-0.02601864349652,0.02486898871648548,-0.002589551112246113,0.017589058727025986,DSAC,sq_error,state + error,feasible-yogurt-566
2,2,0.004619086539321233,-0.031151406741583055,0.0368124552684678,-0.004619086539321233,0.013748843222856522,DSAC,sq_error,state + error,feasible-yogurt-566
3,3,0.006710055998253332,-0.03373956406299355,0.04817536741017153,-0.006710055998253332,0.011726129800081253,DSAC,sq_error,state + error,feasible-yogurt-566
4,4,0.008762446125006575,-0.034829413136078166,0.058778525229247314,-0.008762446125006575,0.010720562189817429,DSAC,sq_error,state + error,feasible-yogurt-566
5,5,0.010705122164241437,-0.03501084968803542,0.06845471059286887,-0.010705122164241437,0.010245945304632187,DSAC,sq_error,state + error,feasible-yogurt-566
6,6,0.0124785034671227,-0.0346558978126812,0.07705132427757894,-0.0124785034671227,0.010086391121149063,DSAC,sq_error,state + error,feasible-yogurt-566
7,7,0.014027806572782705,-0.03400624903990384,0.08443279255020152,-0.014027806572782705,0.010118868201971054,DSAC,sq_error,state + error,feasible-yogurt-566
8,8,0.015304879189027638,-0.0332301849024348,0.09048270524660196,-0.015304879189027638,0.010282810777425766,DSAC,sq_error,state + error,feasible-yogurt-566
9,9,0.01626825853356833,-0.03244143196540001,0.09510565162951536,-0.01626825853356833,0.010534148663282394,DSAC,sq_error,state + error,feasible-yogurt-566
10,10,0.016878578983285663,-0.031688860277558815,0.09822872507286887,-0.016878578983285663,0.010805118829011917,DSAC,sq_error,state + error,feasible-yogurt-566
11,11,0.017112666565574367,-0.031012718321876263,0.09980267284282716,-0.017112666565574367,0.011097539216279984,DSAC,sq_error,state + error,feasible-yogurt-566
12,12,0.016956554039719764,-0.030414661025286435,0.09980267284282716,-0.016956554039719764,0.011368345469236374,DSAC,sq_error,state + error,feasible-yogurt-566
13,13,0.016415061688638828,-0.029892552194565606,0.09822872507286888,-0.016415061688638828,0.01161700114607811,DSAC,sq_error,state + error,feasible-yogurt-566
14,14,0.01551214366869303,-0.029442104948806967,0.09510565162951534,-0.01551214366869303,0.011844199150800705,DSAC,sq_error,state + error,feasible-yogurt-566
15,15,0.014289868921325926,-0.029057534511087696,0.09048270524660196,-0.014289868921325926,0.01205073669552803,DSAC,sq_error,state + error,feasible-yogurt-566
16,16,0.012806358080621671,-0.0287323879631599,0.0844327925502015,-0.012806358080621671,0.012237902730703354,DSAC,sq_error,state + error,feasible-yogurt-566
17,17,0.011132602266726514,-0.02845982331700712,0.0770513242775789,-0.011132602266726514,0.012406859546899796,DSAC,sq_error,state + error,feasible-yogurt-566
18,18,0.009348478636486936,-0.028232820332721238,0.06845471059286883,-0.009348478636486936,0.012558620423078537,DSAC,sq_error,state + error,feasible-yogurt-566
19,19,0.007538208258079522,-0.028044330391145254,0.05877852522924725,-0.007538208258079522,0.01269402727484703,DSAC,sq_error,state + error,feasible-yogurt-566
20,20,0.005785573870099601,-0.027887592498706648,0.048175367410171484,-0.005785573870099601,0.012814048677682877,DSAC,sq_error,state + error,feasible-yogurt-566
21,21,0.004169101368358669,-0.027756123532359758,0.036812455268467735,-0.004169101368358669,0.01291939988732338,DSAC,sq_error,state + error,feasible-yogurt-566
22,22,0.002757947983894642,-0.02764718006889576,0.024868988716485397,-0.002757947983894642,0.013015631586313248,DSAC,sq_error,state + error,feasible-yogurt-566
23,23,0.0016082717459788888,-0.027569940176340787,0.012533323356430322,-0.0016082717459788888,0.013120826333761215,DSAC,sq_error,state + error,feasible-yogurt-566
24,24,0.0007567312607772615,-0.02750874880428526,-7.6571373978539e-17,-0.0007567312607772615,0.013202022761106491,DSAC,sq_error,state + error,feasible-yogurt-566
25,25,0.0002225827833925825,-0.027452531894170844,-0.012533323356430563,-0.0002225827833925825,0.01326361671090126,DSAC,sq_error,state + error,feasible-yogurt-566
26,26,6.3731186653239624e-06,-0.027393492363804,-0.024868988716485588,-6.3731186653239624e-06,0.013308722525835037,DSAC,sq_error,state + error,feasible-yogurt-566
27,27,8.997705211424892e-05,-0.027326831824842877,-0.036812455268467915,-8.997705211424892e-05,0.013340499252080917,DSAC,sq_error,state + error,feasible-yogurt-566
