,name,seed,agent,lr_a_high,lr_c_high,sac_model,task_train,action_scale,discount_factor,discount_factor_model,citation_inputs/da,citation_states/he,online_states/step,eval/da,actor/idhp_w_1,online_states/V,online/action_de,citation_inputs/dr,citation_states/ye,online/phi_sq_error,_wandb,online/theta,online/phi_ref,online_states/he,hybrid_improvement,citation_states/alpha,eval/phi_ref,eval/theta_ref,citation_states/r,citation_inputs/de,eval/dr,actor/idhp_w_2,online_states/psi,citation_states/xe,eval/beta_sq_error,citation_inputs/step,eval/nmae,learning/rewards,online/action_da,online_states/ye,online/phi,learning/step,online/action_dr,eval/reward,online/nmae,citation_states/V,citation_states/p,eval/de,eval/theta,non_hybrid_nmae,online/beta_ref,_step,eval/phi_sq_error,eval/beta_ref,actor/idhp_w_0,citation_states/q,hybrid_nmae,online_states/q,online/theta_ref,online/beta_sq_error,online_states/alpha,citation_states/step,eval/beta,online_states/r,online_states/beta,eval/theta_sq_error,eval/step,train/step,citation_states/beta,online_states/xe,online_states/phi,online_states/p,citation_states/phi,online_states/theta,eval/phi,_timestamp,online/beta,online/step,online/theta_sq_error,_runtime,online/mean_error,citation_states/psi,citation_states/theta
0,generous-sweep-15,5,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.03901374340057373,1449.5243724281167,9950,-0.03901374340057373,4.356391218607314e-05,89.28684588329143,-0.028711232542991637,0.142732173204422,-3762.8875089447174,9.431775011590082e-05,{'runtime': 11},0.015951722330842584,-0.1866243304896529,1516.7047341694793,15.537485761168067,0.05780168705744791,-0.1845515065112372,0,-0.03728630577712608,-0.03683471828699112,0.142732173204422,0.0001408463722327724,-0.06902798448185021,7613.537825874641,0.003907574419496977,9950,0.19581431941657693,-0.0010227391686934415,-0.02631920576095581,-15.909025699985184,-0.18153927919076185,9950,0.02742353081703186,-0.09160050586297476,0.04043946180489628,89.04024976316094,0.07224617331944956,-0.03683471828699112,0.08309562412824692,19.581431941657694,0,9580,0.002871885010975574,0,1.0001435279846191,0.01154555575602122,4.043946180489628,0.011177232476040824,0,2.71954905036834e-07,0.05937116673041411,9950,-0.008182617680037297,-0.026021071912691977,0.015951722330842584,0.025185992150407524,9950,9950,0.08309562412824692,8873.79879887437,-0.18153927919076185,0.1024972651221163,-0.21364894717833657,6.826326854703494e-05,-0.21364894717833657,1685983738.307447,6.826326854703494e-05,9950,0.000928149463672504,12.040796041488647,0.007102662032840074,-1.112619411090615,-0.008182617680037297
1,worldly-sweep-14,4,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.03901374340057373,1449.5243724281167,9950,-0.03901374340057373,2.903443601098843e-05,89.35649143889634,-0.03450783491134644,0.142732173204422,-3762.8875089447174,0.0186174525629144,{'runtime': 11},0.019083789526664268,-0.1866243304896529,1502.7188787995408,13.750627914780404,0.05780168705744791,-0.1845515065112372,0,-0.03728630577712608,-0.03683471828699112,0.142732173204422,0.0001583125995239243,-0.15413185340538688,7613.537825874641,0.003907574419496977,9950,0.19581431941657693,-0.020325652690874645,-0.03582102060317993,-237.4578204952141,-0.2580671770625939,9950,0.038825392723083496,-0.09160050586297476,0.058308040268772905,89.04024976316094,0.07224617331944956,-0.03683471828699112,0.08309562412824692,19.581431941657694,0,9580,0.002871885010975574,0,1.0001850128173828,0.01154555575602122,5.83080402687729,0.023301931142149283,0,0.0003797905702598765,0.06578384509014211,9950,-0.008182617680037297,-0.03981334440036537,0.019083789526664268,0.025185992150407524,9950,9950,0.08309562412824692,8873.487678989053,-0.2580671770625939,0.140671270537136,-0.21364894717833657,0.002551001533891855,-0.21364894717833657,1685983717.145068,0.002551001533891855,9950,0.001328409557700371,12.009675979614258,0.007843786449745139,-1.112619411090615,-0.008182617680037297
2,super-sweep-13,3,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.03901374340057373,1449.5243724281167,9950,-0.03901374340057373,4.056733814650215e-05,89.41328926912736,-0.02931854724884033,0.142732173204422,-3762.8875089447174,0.001512531940337033,{'runtime': 11},0.01522305313573201,-0.1866243304896529,1510.9408566740472,15.199184201116813,0.05780168705744791,-0.1845515065112372,0,-0.03728630577712608,-0.03683471828699112,0.142732173204422,0.00017038060468621552,-0.07809651227518542,7613.537825874641,0.003907574419496977,9950,0.19581431941657693,-0.003574792391827108,-0.02746140956878662,-34.58825670635437,-0.20698775896595345,9950,0.02907872200012207,-0.09160050586297476,0.04382247740540885,89.04024976316094,0.07224617331944956,-0.03683471828699112,0.08309562412824692,19.581431941657694,0,9580,0.002871885010975574,0,1.0001760721206665,0.01154555575602122,4.382247740540884,0.01302142913042701,0,0.0012169693795481538,0.05985591700688923,9950,-0.008182617680037297,-0.03006873222740124,0.01522305313573201,0.025185992150407524,9950,9950,0.08309562412824692,8872.36870904174,-0.20698775896595345,0.10992205135830202,-0.21364894717833657,-0.004566447368590073,-0.21364894717833657,1685983691.05465,-0.004566447368590073,9950,0.0008452910719419212,12.072532176971436,0.0069202251960680606,-1.112619411090615,-0.008182617680037297
3,deft-sweep-12,2,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.03901374340057373,1449.5243724281167,9950,-0.03901374340057373,2.2639120288658887e-05,89.69413278536547,-0.028368052840232846,0.142732173204422,-3762.8875089447174,0.0004986251130135343,{'runtime': 11},0.015865987755025884,-0.1866243304896529,1501.0163906178375,14.727601512002444,0.05780168705744791,-0.1845515065112372,0,-0.03728630577712608,-0.03683471828699112,0.142732173204422,-2.5874291168292984e-05,-0.07992912629350025,7613.537825874641,0.003907574419496977,9950,0.19581431941657693,-0.013654245793136982,-0.02283453941345215,-81.95468959643486,-0.1749324142296751,9950,0.029726535081863403,-0.09160050586297476,0.0485383042965525,89.04024976316094,0.07224617331944956,-0.03683471828699112,0.08309562412824692,19.581431941657694,0,9580,0.002871885010975574,0,1.0000501871109009,0.01154555575602122,4.85383042965525,0.01229770368482466,0,0.012237421321805247,0.05832783118664823,9950,-0.008182617680037297,-0.02721016654498105,0.015865987755025884,0.025185992150407524,9950,9950,0.08309562412824692,8885.526515822983,-0.1749324142296751,0.08653351015511795,-0.21364894717833657,-0.014480500977828017,-0.21364894717833657,1685983669.86708,-0.014480500977828017,9950,0.0009181993583181996,12.12095308303833,0.007736681660996045,-1.112619411090615,-0.008182617680037297
4,fluent-sweep-11,1,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.03901374340057373,1449.5243724281167,9950,-0.03901374340057373,4.0886527131078765e-05,89.22932036835404,-0.02827368378639221,0.142732173204422,-3762.8875089447174,3.543706771291329e-06,{'runtime': 11},0.01303030454180984,-0.1866243304896529,1508.4743308562856,15.801170668173103,0.05780168705744791,-0.1845515065112372,0,-0.03728630577712608,-0.03683471828699112,0.142732173204422,0.00014898959489073604,-0.11106490957746488,7613.537825874641,0.003907574419496977,9950,0.19581431941657693,-0.0009142314834483542,-0.026076972484588623,-210.6717818093135,-0.18760999135010967,9950,0.02243208885192871,-0.09160050586297476,0.03780261273484591,89.04024976316094,0.07224617331944956,-0.03683471828699112,0.08309562412824692,19.581431941657694,0,9580,0.002871885010975574,0,1.000112533569336,0.01154555575602122,3.7802612734845913,0.009643955839001914,0,0.00029137236504734156,0.059021424771398136,9950,-0.008182617680037297,-0.025476262655204224,0.01303030454180984,0.025185992150407524,9950,9950,0.08309562412824692,8876.91988503871,-0.18760999135010967,0.10675505404641018,-0.21364894717833657,0.002234409712794479,-0.21364894717833657,1685983648.356353,0.002234409712794479,9950,0.0006193154116297214,12.068464040756226,0.007352243486685009,-1.112619411090615,-0.008182617680037297
5,still-sweep-10,5,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.03244960308074951,1392.868907346909,9950,-0.03244960308074951,0.0,89.49666734306058,-0.02862633168697357,0.0860249400138855,-2623.14716728834,6.62428557004851e-05,{'runtime': 12},0.013932255704600207,-0.1866243304896529,1486.1012168558937,9.80591609713813,0.0546784430815392,-0.1845515065112372,0,-0.03271633534686047,-0.026971569657325743,0.0860249400138855,0.0005822886014357209,0.018178688656048263,8369.894442572526,0.02968205634879803,9950,0.14308144645322882,-0.0010209895100696442,-0.02730405330657959,772.3445707159465,-0.19088588595737907,9950,0.02336946129798889,-0.10830297415659508,0.04502228548184752,89.48167226028345,0.08697676021602402,-0.026971569657325743,0.0487389297111456,14.308144645322882,0,9580,0.0035449653658013924,0,1.0000776052474976,0.008565549360965439,4.502228548184752,0.010716422656910527,0,0.0002467264865202982,0.059951594654723085,9950,-0.022552029117466753,-0.025689357596652335,0.013932255704600207,0.00866472395677062,9950,9950,0.0487389297111456,8836.23473830488,-0.19088588595737907,0.10524622783699752,-0.216764171689747,-0.0020561108181644783,-0.216764171689747,1685983627.713077,-0.0020561108181644783,9950,0.000708020167848861,12.714444160461426,0.010814745160718524,-0.7510375375873187,-0.022552029117466753
6,faithful-sweep-9,4,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.03244960308074951,1392.868907346909,9950,-0.03244960308074951,0.0,89.36642074053287,-0.02939408719539642,0.0860249400138855,-2623.14716728834,0.00012594112201502652,{'runtime': 11},0.011972226524252208,-0.1866243304896529,1486.0785728730566,10.425783186407628,0.0546784430815392,-0.1845515065112372,0,-0.03271633534686047,-0.026971569657325743,0.0860249400138855,0.0003269013832323253,0.0070789978818042755,8369.894442572526,0.02968205634879803,9950,0.14308144645322882,-0.0008462094989181396,-0.023503601551055908,639.311229397171,-0.19250033880056727,9950,0.020126551389694217,-0.10830297415659508,0.038823614589152546,89.48167226028345,0.08697676021602402,-0.026971569657325743,0.0487389297111456,14.308144645322882,0,9580,0.0035449653658013924,0,0.9999881386756896,0.008565549360965439,3.882361458915254,0.011822211443515435,0,0.00019744787909686335,0.060860178730061026,9950,-0.022552029117466753,-0.024767096756305534,0.011972226524252208,0.00866472395677062,9950,9950,0.0487389297111456,8854.08023767196,-0.19250033880056727,0.09367432725437834,-0.216764171689747,0.001839352078952668,-0.216764171689747,1685983606.374392,0.001839352078952668,9950,0.0005228204978062497,12.539849042892456,0.009463302584927792,-0.7510375375873187,-0.022552029117466753
7,prime-sweep-8,3,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.03244960308074951,1392.868907346909,9950,-0.03244960308074951,0.0,89.16499180238576,-0.03129404336214065,0.0860249400138855,-2623.14716728834,0.0027730293118053044,{'runtime': 11},0.017221497971383903,-0.1866243304896529,1489.7615351862394,9.934609465520614,0.0546784430815392,-0.1845515065112372,0,-0.03271633534686047,-0.026971569657325743,0.0860249400138855,0.0001182954729301855,0.010088352426943567,8369.894442572526,0.02968205634879803,9950,0.14308144645322882,-0.014308466695194082,-0.026884853839874268,908.676578684028,-0.21419681188976525,9950,0.025542467832565308,-0.10830297415659508,0.043735351798022674,89.48167226028345,0.08697676021602402,-0.026971569657325743,0.0487389297111456,14.308144645322882,0,9580,0.0035449653658013924,0,0.999450981616974,0.008565549360965439,4.373535179802268,0.015335729677137975,0,0.01045364329198191,0.06412675741625912,9950,-0.022552029117466753,-0.025932148666083767,0.017221497971383903,0.00866472395677062,9950,9950,0.0487389297111456,8825.370913008206,-0.21419681188976525,0.10151552769251004,-0.216764171689747,0.01338358524059591,-0.216764171689747,1685983585.1455412,0.01338358524059591,9950,0.001081794091406867,12.577234268188477,0.011058439752121504,-0.7510375375873187,-0.022552029117466753
8,logical-sweep-7,2,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.03244960308074951,1392.868907346909,9950,-0.03244960308074951,0.0,89.17777356311207,-0.03504568487405777,0.0860249400138855,-2623.14716728834,0.011934007407171848,{'runtime': 11},0.02172734462483118,-0.1866243304896529,1486.0507381336242,8.639736935402684,0.0546784430815392,-0.1845515065112372,0,-0.03271633534686047,-0.026971569657325743,0.0860249400138855,0.00030674057779833674,-0.06123407456398736,8369.894442572526,0.02968205634879803,9950,0.14308144645322882,-0.017388381105927445,-0.058507561683654785,394.5534111374324,-0.2438237700820068,9950,0.04415103793144226,-0.10830297415659508,0.056684077099201986,89.48167226028345,0.08697676021602402,-0.026971569657325743,0.0487389297111456,14.308144645322882,0,9580,0.0035449653658013924,0,0.9998064637184144,0.008565549360965439,5.668407709920198,0.02682068434540459,0,0.003732441443984912,0.062144110252913776,9950,-0.022552029117466753,-0.04055632780624264,0.02172734462483118,0.00866472395677062,9950,9950,0.0487389297111456,8858.353017656787,-0.2438237700820068,0.23848876412487408,-0.216764171689747,0.00799714798363491,-0.216764171689747,1685983563.717762,0.00799714798363491,9950,0.001721932254770687,12.312126874923706,0.01052480526568057,-0.7510375375873187,-0.022552029117466753
9,dazzling-sweep-6,1,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,"[0.3, 1, 1]",0.8,0.8,-0.03244960308074951,1392.868907346909,9950,-0.03244960308074951,0.0,89.1522401237601,-0.025848707556724547,0.0860249400138855,-2623.14716728834,0.021564255798330614,{'runtime': 12},0.00515278406950289,-0.1866243304896529,1499.839606449721,9.48819880900266,0.0546784430815392,-0.1845515065112372,0,-0.03271633534686047,-0.026971569657325743,0.0860249400138855,0.0006204943056218326,0.08848553283111164,8369.894442572526,0.02968205634879803,9950,0.14308144645322882,-0.02395881241170382,-0.02303785085678101,1402.4039987348722,-0.263513622103097,9950,0.015064656734466553,-0.10830297415659508,0.04819945836320221,89.48167226028345,0.08697676021602402,-0.026971569657325743,0.0487389297111456,14.308144645322882,0,9580,0.0035449653658013924,0,0.9992645382881165,0.008565549360965439,4.819945836320221,-0.0025419855821436272,0,0.002297709508548642,0.056617625540799126,9950,-0.022552029117466753,-0.024420819624747427,0.00515278406950289,0.00866472395677062,9950,9950,0.0487389297111456,8746.986735382132,-0.263513622103097,0.06357724391250064,-0.216764171689747,0.006274602117475887,-0.216764171689747,1685983543.988842,0.006274602117475887,9950,9.684710482455796e-05,13.047701120376589,0.009716710608332277,-0.7510375375873187,-0.022552029117466753
