,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,idhp_nmae,_timestamp,nmae_improvement,_step,_wandb,_runtime,sac_nmae
0,laced-sweep-200,IDHPDSAC,0.8,0.1,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,8.816165394960422,1685808775.996387,16.872218868179335,0,{'runtime': 5},6.117897033691406,25.688384263139756
1,youthful-sweep-199,IDHPDSAC,0.001,0.2,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,39.30182488494789,1685808759.5356412,-33.257551847042194,0,{'runtime': 5},5.770966291427612,6.044273037905692
2,hardy-sweep-198,IDHPDSAC,0.7,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10.431934543828458,1685808744.4382489,-4.3876615059227655,0,{'runtime': 5},5.761659860610962,6.044273037905692
3,major-sweep-197,IDHPDSAC,1e-05,0.3,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,NaN,1685808731.716079,NaN,0,{'runtime': 3},4.1947150230407715,25.82480636811087
4,lemon-sweep-196,IDHPDSAC,0.4,0.8,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808718.593143,-9999999974.311617,0,{'runtime': 0},1.291676044464111,25.688384263139756
5,colorful-sweep-195,IDHPDSAC,0.9,0.7,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808707.467205,-9999999974.175194,0,{'runtime': 0},1.3602430820465088,25.82480636811087
6,stilted-sweep-194,IDHPDSAC,1e-05,0.01,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,137.55173975868155,1685808696.7347069,-131.50746672077585,0,{'runtime': 5},5.768665790557861,6.044273037905692
7,laced-sweep-193,IDHPDSAC,0.2,0.1,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,3.070334870156119,1685808680.399381,22.618049392983636,0,{'runtime': 5},5.628616809844971,25.688384263139756
8,stilted-sweep-192,IDHPDSAC,5e-05,0.0001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,NaN,1685808668.6177468,NaN,0,{'runtime': 3},4.090665817260742,25.82480636811087
9,drawn-sweep-191,IDHPDSAC,0.7,0.0005,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,9.810284238619667,1685808653.760289,-3.766011200713975,0,{'runtime': 4},5.362269878387451,6.044273037905692
