,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement,_step,_wandb
0,snowy-sweep-200,IDHPSAC,0.8,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.9,0.1,3.5739810466766357,16.011297433609993,10000000000,1685822448.241765,-9999999983.988705,0,{'runtime': 3}
1,valiant-sweep-199,IDHPSAC,0.8,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.8,0.9,6.309035778045654,16.011297433609993,6.464098864802925,1685822435.121766,9.547198568807069,0,{'runtime': 5}
2,major-sweep-198,IDHPSAC,0.8,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.2,0.8,6.273948907852173,16.011297433609993,3.5220993996505063,1685822419.239687,12.489198033959486,0,{'runtime': 5}
3,crisp-sweep-197,IDHPSAC,0.8,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.1,0.5,6.251530885696411,20.585377984797297,5.51978087941166,1685822404.039806,15.065597105385638,0,{'runtime': 5}
4,ethereal-sweep-196,IDHPSAC,0.8,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.5,6.233273267745972,20.585377984797297,4.915453404775881,1685822387.7420192,15.669924580021416,0,{'runtime': 5}
5,valiant-sweep-195,IDHPSAC,0.8,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.4,0.8,6.665096044540405,14.965543983462323,20.021058879338437,1685822372.94501,-5.055514895876113,0,{'runtime': 6}
6,copper-sweep-194,IDHPSAC,0.8,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.3,0.99,6.356160879135132,16.011297433609993,391.77224512512174,1685822345.574966,-375.7609476915118,0,{'runtime': 5}
7,classic-sweep-193,IDHPSAC,0.8,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.2,0.3,6.362977027893066,16.011297433609993,4.8465458492782085,1685822329.616446,11.164751584331784,0,{'runtime': 5}
8,fancy-sweep-192,IDHPSAC,0.8,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.4,0.9,6.288633108139038,14.965543983462323,14.013302686864453,1685822314.534024,0.9522412965978724,0,{'runtime': 5}
9,mild-sweep-191,IDHPSAC,0.8,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.7,0.7,6.293607950210571,16.011297433609993,16.072150764561695,1685822298.62942,-0.06085333095170142,0,{'runtime': 5}
