,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
0,devoted-sweep-200,IDHPDSAC,0.5,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.433959007263184,6.044273037905692,6.182732790651576,1685813600.386102,-0.1384597527458835
1,daily-sweep-199,IDHPDSAC,0.4,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.439484119415283,25.688384263139756,3.6340133166529593,1685813585.157282,22.0543709464868
2,scarlet-sweep-198,IDHPDSAC,0.005,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 6},6.476974010467529,6.044273037905692,56.59328074944493,1685813568.986584,-50.54900771153924
3,sweepy-sweep-197,IDHPDSAC,0.005,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.325088024139404,25.688384263139756,11.030000253107143,1685813553.656846,14.658384010032613
4,usual-sweep-196,IDHPDSAC,0.05,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.358612060546875,25.688384263139756,4.03447416626417,1685813537.452488,21.653910096875585
5,stellar-sweep-195,IDHPDSAC,0.0005,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.423181056976318,25.688384263139756,29.62479215663907,1685813521.604049,-3.936407893499318
6,denim-sweep-194,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.3498711585998535,25.688384263139756,3.0908204494593488,1685813506.2970612,22.59756381368041
7,lilac-sweep-193,IDHPDSAC,0.4,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.381303071975708,6.044273037905692,10.597063992282374,1685813490.380264,-4.552790954376682
8,hearty-sweep-192,IDHPDSAC,0.05,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.4335410594940186,25.82480636811087,5.933677713550158,1685813474.315897,19.891128654560713
9,legendary-sweep-191,IDHPDSAC,0.2,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.387732982635498,25.82480636811087,3.8290550225043223,1685813458.951305,21.995751345606543
10,visionary-sweep-190,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.44008207321167,25.82480636811087,2.717963959221835,1685813442.992618,23.106842408889037
11,worthy-sweep-189,IDHPDSAC,0.9,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.434629917144775,25.82480636811087,4.086240535991375,1685813427.740626,21.738565832119495
12,fast-sweep-188,IDHPDSAC,0.005,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.376943111419678,25.82480636811087,22.517865308839276,1685813411.666373,3.306941059271594
13,dandy-sweep-187,IDHPDSAC,0.05,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.393714904785156,25.688384263139756,5.151222435595867,1685813395.666716,20.53716182754389
14,fallen-sweep-186,IDHPDSAC,0.6,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.318244934082031,25.82480636811087,4.673671626718404,1685813379.6790988,21.151134741392468
15,jumping-sweep-185,IDHPDSAC,0.3,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.370329141616821,6.044273037905692,12.547878095346498,1685813363.8391922,-6.503605057440805
16,easy-sweep-184,IDHPDSAC,0.2,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.43164324760437,6.044273037905692,4.231096424748585,1685813348.0158532,1.8131766131571077
17,azure-sweep-183,IDHPDSAC,0.7,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.47858190536499,6.044273037905692,30.174349751575363,1685813333.1593668,-24.13007671366967
18,robust-sweep-182,IDHPDSAC,1e-05,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.284389019012451,6.044273037905692,NaN,1685813317.069515,NaN
19,sleek-sweep-181,IDHPDSAC,0.05,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.3262481689453125,6.044273037905692,4.053557490325474,1685813301.219448,1.9907155475802183
20,stellar-sweep-180,IDHPDSAC,0.005,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.232346057891846,6.044273037905692,38.74954986276046,1685813285.092289,-32.70527682485477
21,bumbling-sweep-179,IDHPDSAC,1e-05,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.487985134124756,25.688384263139756,35.73960885914876,1685813269.430616,-10.051224596009003
22,logical-sweep-178,IDHPDSAC,1e-05,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.426682949066162,25.688384263139756,35.75056028504919,1685813254.401205,-10.062176021909432
23,jumping-sweep-177,IDHPDSAC,5e-05,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.40247106552124,25.82480636811087,132.50735206654485,1685813238.445295,-106.68254569843398
24,stellar-sweep-176,IDHPDSAC,0.001,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.464740037918091,6.044273037905692,58.44238560619372,1685813222.575951,-52.39811256828803
25,lunar-sweep-175,IDHPDSAC,0.005,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.44256591796875,25.688384263139756,10.911774936944864,1685813206.683092,14.776609326194892
26,effortless-sweep-174,IDHPDSAC,0.6,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.223361015319824,6.044273037905692,10.08443664700837,1685813190.58443,-4.040163609102678
27,resilient-sweep-173,IDHPDSAC,1e-05,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 4},4.658109903335571,25.82480636811087,NaN,1685813173.125273,NaN
28,olive-sweep-172,IDHPDSAC,0.2,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.141592979431152,6.044273037905692,3.783950010712547,1685813160.583901,2.2603230271931456
29,firm-sweep-171,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.28436803817749,25.82480636811087,2.8922714628157,1685813144.880734,22.93253490529517
30,misty-sweep-170,IDHPDSAC,0.3,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.306971073150635,25.688384263139756,4.141377545814992,1685813129.0254772,21.547006717324763
31,youthful-sweep-169,IDHPDSAC,0.0001,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.4523797035217285,25.688384263139756,34.546867000370405,1685813114.3178408,-8.858482737230648
