,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,nmae_improvement,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp
0,dazzling-sweep-200,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.3,0.4,13.754396365445045,0,{'runtime': 5},6.584707975387573,20.585377984797297,6.830981619352255,1685890379.755748
1,good-sweep-199,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.2,0.9,10.883966032953646,0,{'runtime': 5},6.542048215866089,20.585377984797297,9.701411951843651,1685890362.944749
2,zany-sweep-198,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.3,0.6,13.279487286185274,0,{'runtime': 5},6.652194976806641,20.585377984797297,7.305890698612023,1685890348.157295
3,silvery-sweep-197,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.7,0.3,10.812141627208884,0,{'runtime': 5},6.660327196121216,16.011297433609993,5.1991558064011105,1685890331.4063292
4,robust-sweep-196,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.4,0.3,9.275123716085668,0,{'runtime': 5},6.351101875305176,14.965543983462323,5.6904202673766555,1685890313.014051
5,vague-sweep-195,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.4,0.4,8.904712887256444,0,{'runtime': 5},6.9894537925720215,16.011297433609993,7.106584546353549,1685890297.636902
6,misunderstood-sweep-194,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.9,0.99,-133.33913191826775,0,{'runtime': 5},6.336664199829102,20.585377984797297,153.92450990306506,1685890282.0406451
7,dazzling-sweep-193,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.5,0.6,9.887615768385055,0,{'runtime': 5},6.333160161972046,14.965543983462323,5.077928215077265,1685890266.048186
8,colorful-sweep-192,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.4,0.9,9.96841340991048,0,{'runtime': 5},6.443851947784424,20.585377984797297,10.616964574886817,1685890250.084529
9,gentle-sweep-191,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.9,11.585592268405176,0,{'runtime': 5},6.344102144241333,20.585377984797297,8.999785716392122,1685890233.885215
10,kind-sweep-190,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.7,0.3,14.307910258090716,0,{'runtime': 5},6.287990093231201,20.585377984797297,6.277467726706583,1685890218.8525271
11,trim-sweep-189,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.1,0.2,9.54280968986326,0,{'runtime': 5},6.410328149795532,14.965543983462323,5.4227342935990634,1685890202.852075
12,vocal-sweep-188,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.4,0.9,9.119366074722905,0,{'runtime': 5},6.3925440311431885,16.011297433609993,6.891931358887088,1685890186.736911
13,fragrant-sweep-187,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.99,0.3,12.336838801022578,0,{'runtime': 5},6.39775824546814,20.585377984797297,8.248539183774719,1685890170.7732952
14,fragrant-sweep-186,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.4,0.7,14.53806487958424,0,{'runtime': 5},6.374190092086792,20.585377984797297,6.047313105213057,1685890155.72352
15,lilac-sweep-185,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.8,0.6,7.855052560015165,0,{'runtime': 5},6.331695079803467,16.011297433609993,8.156244873594828,1685890139.704318
16,graceful-sweep-184,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.5,0.99,-123.85004176405148,0,{'runtime': 5},6.308593988418579,14.965543983462323,138.8155857475138,1685890123.48499
17,eager-sweep-183,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.99,0.2,7.686340128190579,0,{'runtime': 5},6.35358190536499,14.965543983462323,7.279203855271745,1685890107.492256
18,copper-sweep-182,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.5,0.5,8.561639780619974,0,{'runtime': 5},6.2632269859313965,14.965543983462323,6.403904202842349,1685890092.392104
19,proud-sweep-181,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.5,0.7,7.89199159871834,0,{'runtime': 5},6.744447946548462,16.011297433609993,8.119305834891653,1685890076.526617
20,olive-sweep-180,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.9,0.7,7.97262162207965,0,{'runtime': 5},6.304998159408569,16.011297433609993,8.038675811530343,1685890060.8057091
21,sunny-sweep-179,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.7,0.8,13.039382383649556,0,{'runtime': 5},6.340217113494873,20.585377984797297,7.545995601147743,1685890044.815045
22,jolly-sweep-178,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.8,0.6,8.099086516473264,0,{'runtime': 5},6.337545156478882,16.011297433609993,7.912210917136729,1685890028.736952
23,toasty-sweep-177,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.2,0.4,13.022271736566411,0,{'runtime': 5},6.394482135772705,16.011297433609993,2.9890256970435822,1685890013.876449
24,scarlet-sweep-176,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.3,0.7,13.84113167021018,0,{'runtime': 5},6.292726039886475,20.585377984797297,6.744246314587117,1685889997.660188
25,crimson-sweep-175,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.99,0.2,10.768771996871184,0,{'runtime': 5},6.338809013366699,16.011297433609993,5.24252543673881,1685889981.686195
26,electric-sweep-174,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.8,0.3,11.185523159696654,0,{'runtime': 5},6.2456488609313965,16.011297433609993,4.825774273913338,1685889966.2591228
27,stoic-sweep-173,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.6,12.952428540132686,0,{'runtime': 5},6.319007158279419,20.585377984797297,7.632949444664612,1685889950.356974
28,dulcet-sweep-172,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.7,0.4,7.605218896853199,0,{'runtime': 5},6.331727981567383,14.965543983462323,7.360325086609125,1685889934.381938
29,worthy-sweep-171,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.99,-274.6972435286908,0,{'runtime': 5},6.568588018417358,20.585377984797297,295.2826215134881,1685889919.679741
30,sunny-sweep-170,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.1,0.1,-9999999979.41462,0,{'runtime': 2},3.097831964492798,20.585377984797297,10000000000,1685889905.210774
