,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
0,polished-sweep-200,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.3,0.2,0,{'runtime': 4},5.29282808303833,6.044273037905692,2.7687584143008324,1685896351.879905,3.27551462360486
1,eager-sweep-199,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.8,0,{'runtime': 4},5.41231894493103,25.688384263139756,5.185321152602606,1685896336.898665,20.50306311053715
2,woven-sweep-198,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.4,0.2,0,{'runtime': 4},5.477768182754517,6.044273037905692,3.0670894534884052,1685896319.34346,2.977183584417287
3,eternal-sweep-197,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.8,0,{'runtime': 4},5.254836082458496,25.82480636811087,5.45623589231461,1685896304.127002,20.36857047579626
4,unique-sweep-196,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.9,0.3,0,{'runtime': 4},5.402622938156128,25.688384263139756,3.0320275687270595,1685896288.278951,22.656356694412697
5,dulcet-sweep-195,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.99,0.4,0,{'runtime': 4},5.51765513420105,6.044273037905692,6.838152069023249,1685896272.345149,-0.793879031117557
6,desert-sweep-194,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.99,0.4,0,{'runtime': 4},5.28016209602356,6.044273037905692,4.399739923724452,1685896256.882622,1.6445331141812405
7,breezy-sweep-193,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.4,0.5,0,{'runtime': 4},5.487303018569946,6.044273037905692,4.345942336475239,1685896240.983958,1.6983307014304536
8,treasured-sweep-192,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.5,0.7,0,{'runtime': 4},5.48651909828186,6.044273037905692,8.237884577896908,1685896224.719757,-2.193611539991216
9,light-sweep-191,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.6,0,{'runtime': 4},5.2310028076171875,6.044273037905692,2.319554856122009,1685896209.2988129,3.7247181817836834
10,rare-sweep-190,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.5,0.4,0,{'runtime': 4},5.319061994552612,6.044273037905692,3.085367004354843,1685896193.180328,2.9589060335508495
11,snowy-sweep-189,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.3,0.1,0,{'runtime': 1},1.994551181793213,25.82480636811087,10000000000,1685896179.41581,-9999999974.175194
12,neat-sweep-188,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.2,0.8,0,{'runtime': 4},5.507489919662476,6.044273037905692,3.2759689184442933,1685896166.708145,2.768304119461399
13,silvery-sweep-187,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.7,0.7,0,{'runtime': 5},5.594192028045654,25.82480636811087,3.2582627192950584,1685896151.636076,22.566543648815813
14,dauntless-sweep-186,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.4,0.9,0,{'runtime': 4},5.330003261566162,25.688384263139756,9.740329874323894,1685896135.3911092,15.948054388815862
15,dry-sweep-185,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.3,0,{'runtime': 4},5.4704649448394775,25.82480636811087,3.9303746450752,1685896119.236703,21.89443172303567
16,kind-sweep-184,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.1,0,{'runtime': 1},1.8307290077209473,6.044273037905692,10000000000,1685896105.174988,-9999999993.955729
17,glowing-sweep-183,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.99,0.2,0,{'runtime': 4},5.439732074737549,25.688384263139756,3.8417406084915737,1685896093.6605592,21.846643654648183
18,cerulean-sweep-182,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.2,0.5,0,{'runtime': 4},5.341304063796997,25.688384263139756,3.5790014850627654,1685896077.38157,22.10938277807699
19,laced-sweep-181,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.4,0.6,0,{'runtime': 4},5.269397974014282,6.044273037905692,2.6386171751203644,1685896061.147212,3.405655862785328
20,lucky-sweep-180,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.5,0.6,0,{'runtime': 5},5.553769826889038,6.044273037905692,2.498457922535813,1685896045.4101188,3.5458151153698796
21,helpful-sweep-179,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.99,0.8,0,{'runtime': 4},5.355751037597656,25.688384263139756,4.7565492140977845,1685896030.227354,20.931835049041972
22,worldly-sweep-178,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.1,0.8,0,{'runtime': 5},5.833643913269043,25.688384263139756,5.067650049218042,1685896014.377398,20.620734213921715
23,skilled-sweep-177,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.5,0,{'runtime': 4},5.486593008041382,25.688384263139756,4.169331781094974,1685895998.281586,21.51905248204478
24,summer-sweep-176,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.4,0.9,0,{'runtime': 4},5.31902289390564,6.044273037905692,8.133740096069568,1685895981.710292,-2.0894670581638755
25,effortless-sweep-175,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.99,0.8,0,{'runtime': 4},5.4485650062561035,25.82480636811087,4.674588418988882,1685895966.660562,21.150217949121988
26,scarlet-sweep-174,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.6,0,{'runtime': 4},5.40168571472168,25.688384263139756,3.008790560684659,1685895950.4544268,22.679593702455097
27,super-sweep-173,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.5,0,{'runtime': 4},5.469336032867432,25.82480636811087,3.6447562153135262,1685895934.390151,22.180050152797342
28,electric-sweep-172,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.1,0,{'runtime': 1},1.9616479873657229,25.82480636811087,10000000000,1685895920.549131,-9999999974.175194
