,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement,_step,_wandb
0,grateful-sweep-200,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.4,0.99,6.230828762054443,25.688384263139756,272.29491953309247,1685824126.598066,-246.6065352699527,0,{'runtime': 5}
1,fluent-sweep-199,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.4,0.4,6.239887237548828,25.82480636811087,6.460180509501264,1685824109.3851771,19.364625858609607,0,{'runtime': 5}
2,quiet-sweep-198,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.99,0.99,5.090238094329834,25.82480636811087,NaN,1685824092.192408,NaN,0,{'runtime': 4}
3,solar-sweep-197,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.2,0.9,6.2585742473602295,25.82480636811087,7.165741143624893,1685824078.4747782,18.65906522448598,0,{'runtime': 5}
4,brisk-sweep-196,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.7,0.1,3.3655149936676025,25.688384263139756,10000000000,1685824064.621595,-9999999974.311617,0,{'runtime': 2}
5,desert-sweep-195,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.2,0.4,6.098776817321777,25.688384263139756,5.636980226511736,1685824051.3446898,20.05140403662802,0,{'runtime': 5}
6,winter-sweep-194,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.3,0.4,6.327214956283569,6.044273037905692,11.129830658266316,1685824035.620798,-5.085557620360624,0,{'runtime': 5}
7,deft-sweep-193,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.1,0.6,6.216118097305298,25.82480636811087,4.247859185272473,1685824019.582412,21.576947182838396,0,{'runtime': 5}
8,unique-sweep-192,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.9,0.8,6.108581066131592,25.688384263139756,NaN,1685824004.391236,NaN,0,{'runtime': 5}
9,daily-sweep-191,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.5,0.99,4.337063789367676,25.688384263139756,NaN,1685823991.6397529,NaN,0,{'runtime': 3}
