,name,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
0,elated-sweep-200,1e-05,0.8,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.034992933273315,16.011297433609993,10000000000.0,1685777192.724776,-9999999983.988705
1,dutiful-sweep-199,0.01,1e-05,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.052726030349731,16.011297433609993,20.179041919321463,1685777179.004767,-4.16774448571147
2,upbeat-sweep-198,0.7,0.4,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.9613001346588137,16.011297433609993,10000000000.0,1685777161.148261,-9999999983.988705
3,winter-sweep-197,0.0005,0.0001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},8.994734048843384,20.585377984797297,32.905835395081134,1685777146.548598,-12.320457410283836
4,worldly-sweep-196,0.0001,0.0001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.036115884780884,16.011297433609993,105.69618569390506,1685777125.879951,-89.68488826029507
5,swift-sweep-195,1e-05,1e-05,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},8.991047143936157,16.011297433609993,130.00189092174458,1685777104.198806,-113.99059348813458
6,grateful-sweep-194,0.6,0.6,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.7923359870910645,14.965543983462323,10000000000.0,1685777086.262738,-9999999985.034456
7,stoic-sweep-193,0.7,5e-05,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.010607242584229,20.585377984797297,5.558735055042488,1685777072.8596292,15.026642929754807
8,crisp-sweep-192,0.0001,0.5,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.165834665298462,20.585377984797297,10000000000.0,1685777055.2082298,-9999999979.41462
9,warm-sweep-191,0.7,0.005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.065747261047363,20.585377984797297,6.839632791894708,1685777041.4551492,13.74574519290259
10,stellar-sweep-190,0.9,0.1,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 4},4.834910869598389,14.965543983462323,10000000000.0,1685777021.625418,-9999999985.034456
11,mild-sweep-189,0.0005,0.1,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.094990968704224,20.585377984797297,35.94140274837852,1685777004.1567569,-15.356024763581225
12,faithful-sweep-188,0.0005,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.138552188873293,16.011297433609993,66.31687389057241,1685776983.6067982,-50.30557645696241
13,misunderstood-sweep-187,5e-05,0.1,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.04427981376648,20.585377984797297,32.33160622748314,1685776962.763208,-11.746228242685843
14,peach-sweep-186,0.2,5e-05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.14631199836731,14.965543983462323,4.025124421436794,1685776942.310526,10.940419562025529
15,eager-sweep-185,0.3,0.4,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.047156810760498,16.011297433609993,10000000000.0,1685776924.468721,-9999999983.988705
16,serene-sweep-184,0.4,0.9,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8154499530792236,20.585377984797297,10000000000.0,1685776913.377671,-9999999979.41462
17,daily-sweep-183,0.6,0.2,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.128068685531616,14.965543983462323,17.06455532638058,1685776901.8787048,-2.099011342918258
18,light-sweep-182,0.9,0.5,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.993196964263916,14.965543983462323,10000000000.0,1685776881.428444,-9999999985.034456
19,proud-sweep-181,1e-05,0.2,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.321145057678224,20.585377984797297,298.82105942218703,1685776868.100086,-278.23568143738976
20,fanciful-sweep-180,0.7,0.5,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.941640853881836,14.965543983462323,10000000000.0,1685776850.1286788,-9999999985.034456
21,magic-sweep-179,5e-05,0.5,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.3216609954833984,16.011297433609993,10000000000.0,1685776839.725803,-9999999983.988705
22,splendid-sweep-178,0.3,0.7,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.9372107982635496,20.585377984797297,10000000000.0,1685776828.553619,-9999999979.41462
23,spring-sweep-177,0.6,0.3,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.411648988723755,14.965543983462323,10000000000.0,1685776818.140563,-9999999985.034456
24,amber-sweep-176,0.0001,0.5,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.191559076309204,16.011297433609993,10000000000.0,1685776807.124869,-9999999983.988705
25,autumn-sweep-175,0.0001,0.0005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},9.721248865127563,20.585377984797297,33.28143703009277,1685776793.902422,-12.69605904529547
26,vocal-sweep-174,0.8,0.7,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8514530658721924,16.011297433609993,10000000000.0,1685776775.4528,-9999999983.988705
27,colorful-sweep-173,0.3,0.4,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.0214290618896484,16.011297433609993,10000000000.0,1685776764.891079,-9999999983.988705
28,robust-sweep-172,0.0001,0.5,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.352673053741455,16.011297433609993,10000000000.0,1685776754.574125,-9999999983.988705
29,curious-sweep-171,0.01,0.0005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},9.664792776107788,20.585377984797297,23.649381064320885,1685776741.248587,-3.0640030795235873
30,effortless-sweep-170,0.1,0.005,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 9},10.05900812149048,16.011297433609993,8.953501589025437,1685776721.0213592,7.057795844584556
31,lucky-sweep-169,0.9,0.5,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.186966896057129,16.011297433609993,10000000000.0,1685776702.1995058,-9999999983.988705
32,usual-sweep-168,0.9,0.6,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8544278144836424,20.585377984797297,10000000000.0,1685776691.1672928,-9999999979.41462
33,absurd-sweep-167,0.0005,0.1,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.034165143966677,14.965543983462323,17.917709339003316,1685776676.681889,-2.952165355540993
34,unique-sweep-166,0.0001,0.005,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.292909145355225,16.011297433609993,69.80822807518089,1685776656.130099,-53.796930641570896
35,hardy-sweep-165,0.005,0.005,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.152065753936768,20.585377984797297,27.448854133692507,1685776635.410684,-6.863476148895209
