"train/step","dutiful-jazz-18 - _step","dutiful-jazz-18 - _step__MIN","dutiful-jazz-18 - _step__MAX","dutiful-jazz-18 - train/return","dutiful-jazz-18 - train/return__MIN","dutiful-jazz-18 - train/return__MAX","spring-monkey-16 - _step","spring-monkey-16 - _step__MIN","spring-monkey-16 - _step__MAX","spring-monkey-16 - train/return","spring-monkey-16 - train/return__MIN","spring-monkey-16 - train/return__MAX","wise-donkey-14 - _step","wise-donkey-14 - _step__MIN","wise-donkey-14 - _step__MAX","wise-donkey-14 - train/return","wise-donkey-14 - train/return__MIN","wise-donkey-14 - train/return__MAX","honest-fog-12 - _step","honest-fog-12 - _step__MIN","honest-fog-12 - _step__MAX","honest-fog-12 - train/return","honest-fog-12 - train/return__MIN","honest-fog-12 - train/return__MAX","sage-vortex-11 - _step","sage-vortex-11 - _step__MIN","sage-vortex-11 - _step__MAX","sage-vortex-11 - train/return","sage-vortex-11 - train/return__MIN","sage-vortex-11 - train/return__MAX"
"999","0","0","0","-7836.738341776837","-7836.738341776837","-7836.738341776837","0","0","0","-9049.868077492925","-9049.868077492925","-9049.868077492925","0","0","0","-8242.375049111435","-8242.375049111435","-8242.375049111435","0","0","0","-8599.21997834363","-8599.21997834363","-8599.21997834363","0","0","0","-9089.765415932445","-9089.765415932445","-9089.765415932445"
"1999","1","1","1","-7291.114568035543","-7291.114568035543","-7291.114568035543","1","1","1","-7667.777005580056","-7667.777005580056","-7667.777005580056","1","1","1","-6742.408228315201","-6742.408228315201","-6742.408228315201","1","1","1","-6950.210494060822","-6950.210494060822","-6950.210494060822","1","1","1","-7179.644595718019","-7179.644595718019","-7179.644595718019"
"2999","2","2","2","-2330.140690723932","-2330.140690723932","-2330.140690723932","2","2","2","-5997.946245710355","-5997.946245710355","-5997.946245710355","2","2","2","-5730.29647908954","-5730.29647908954","-5730.29647908954","2","2","2","-4725.504349839207","-4725.504349839207","-4725.504349839207","2","2","2","-5187.490612835269","-5187.490612835269","-5187.490612835269"
"3999","3","3","3","-430.5038465365752","-430.5038465365752","-430.5038465365752","3","3","3","-7146.770886484201","-7146.770886484201","-7146.770886484201","3","3","3","-2696.563513469547","-2696.563513469547","-2696.563513469547","3","3","3","-1554.2252162241173","-1554.2252162241173","-1554.2252162241173","3","3","3","-2905.841657349177","-2905.841657349177","-2905.841657349177"
"4999","4","4","4","-359.4153347276478","-359.4153347276478","-359.4153347276478","4","4","4","-5458.385560919524","-5458.385560919524","-5458.385560919524","4","4","4","-1467.5157337397943","-1467.5157337397943","-1467.5157337397943","4","4","4","-252.1579232081762","-252.1579232081762","-252.1579232081762","4","4","4","-1295.9881892024312","-1295.9881892024312","-1295.9881892024312"
"5999","5","5","5","-127.64527594409289","-127.64527594409289","-127.64527594409289","5","5","5","-3790.664515401578","-3790.664515401578","-3790.664515401578","5","5","5","-339.14605616774287","-339.14605616774287","-339.14605616774287","5","5","5","-128.83263868515368","-128.83263868515368","-128.83263868515368","5","5","5","-121.3589522218192","-121.3589522218192","-121.3589522218192"
"6999","6","6","6","-130.1308882820124","-130.1308882820124","-130.1308882820124","6","6","6","-2689.085755243646","-2689.085755243646","-2689.085755243646","6","6","6","-249.97022456929423","-249.97022456929423","-249.97022456929423","6","6","6","-124.40660832155545","-124.40660832155545","-124.40660832155545","6","6","6","-121.91357410626807","-121.91357410626807","-121.91357410626807"
"7999","7","7","7","-127.6536735397616","-127.6536735397616","-127.6536735397616","7","7","7","-1287.3762841323564","-1287.3762841323564","-1287.3762841323564","7","7","7","-125.4133340739688","-125.4133340739688","-125.4133340739688","7","7","7","-327.12955813982586","-327.12955813982586","-327.12955813982586","7","7","7","-122.13225488068214","-122.13225488068214","-122.13225488068214"
"8999","8","8","8","-276.0266976700075","-276.0266976700075","-276.0266976700075","8","8","8","-248.865696692621","-248.865696692621","-248.865696692621","8","8","8","-120.81736593105943","-120.81736593105943","-120.81736593105943","8","8","8","-128.1567304623129","-128.1567304623129","-128.1567304623129","8","8","8","-234.47240879088906","-234.47240879088906","-234.47240879088906"
"9999","9","9","9","-121.53689877620756","-121.53689877620756","-121.53689877620756","9","9","9","-128.10650412201886","-128.10650412201886","-128.10650412201886","9","9","9","-3.6692677235751803","-3.6692677235751803","-3.6692677235751803","9","9","9","-118.10072913418861","-118.10072913418861","-118.10072913418861","9","9","9","-355.2210502224709","-355.2210502224709","-355.2210502224709"
